Var1 Var2 Var3 Var4 Var5
3 0 2.36192e-05 2.74968e-05 3.33313e-05
3.25 0 4.87068e-05 5.77354e-05 6.77868e-05
3.5 0 0.000100277 0.000120863 0.000137989
3.75 0 0.000207115 0.000253355 0.000282474
4 0 0.000425271 0.000527674 0.000576982
4.25 0 0.000864861 0.00108847 0.00119263
4.5 0 0.00172406 0.00220135 0.00242409
4.75 0 0.00342815 0.00443493 0.00490923
5 0 0.00677485 0.00886045 0.00986182
5.25 0 0.0148359 0.019737 0.0221326
5.5 0 0.0293744 0.039986 0.0450155
5.75 0 0.049189 0.0703031 0.079554
6 0 0.0691544 0.107672 0.123896
6.25 0 0.0856346 0.149116 0.177495
6.5 0 0.102303 0.199904 0.249143
6.75 0 0.122895 0.265477 0.347103
7 0 0.148225 0.346442 0.47166049270041
7.25 0 0.172624 0.427981 0.603003
7.5 0 0.188811 0.489162 0.7064
7.75 0 0.197453 0.528982 0.778102
3 2 2.31319e-05 2.69195e-05 3.26314e-05
3.25 2 4.77418e-05 5.65631e-05 6.64113999999999e-05
3.5 2 9.83744e-05 0.000118496 0.000135289
3.75 2 0.000202918 0.000248024 0.000276532
4 2 0.000416157 0.000515861 0.000564062
4.25 2 0.000846902 0.00106464 0.00116232054067176
4.5 2 0.00169006 0.0021551 0.00237229
4.75 2 0.00336622 0.00434896 0.00481202
5 2 0.00665782 0.0086967 0.00967488
5.25 2 0.0145923 0.019388 0.0217272
5.5 2 0.0289097 0.0393177 0.0442356
5.75 2 0.0491165 0.0701795 0.0793865
6 2 0.0709646 0.110505 0.127152
6.25 2 0.0899633 0.156696 0.18636058265266
6.5 2 0.10859 0.212233 0.264536
6.75 2 0.129741 0.280305 0.366517
7 2 0.153293 0.358313 0.488536
7.25 2 0.174332 0.432233 0.60902
7.5 2 0.18826 0.487743 0.704365
7.75 2 0.196263 0.5258 0.773432
3 5 2.09522e-05 2.4365e-05 2.95381e-05
3.25 5 4.33354e-05 5.12257e-05 6.01513e-05
3.5 5 8.94102e-05 0.000107356 0.00012258
3.75 5 0.000184068 0.000224162 0.000249942
4 5 0.000377284 0.000465602 0.000509112
4.25 5 0.000773999 0.000967908 0.00105897
4.5 5 0.00156031 0.0019779 0.00217374
4.75 5 0.00311486 0.00399983 0.00441707
5 5 0.00615297 0.0079925 0.00887191
5.25 5 0.0131695 0.0173999 0.0194436
5.5 5 0.0259179 0.0351153 0.0394049
5.75 5 0.0451188 0.0643991 0.0727423
6 5 0.0680877 0.106113 0.122073
6.25 5 0.0892546 0.155662 0.185385
6.5 5 0.109334 0.213905 0.266763
6.75 5 0.130092 0.281244 0.367902
7 5 0.150705 0.352389 0.480594
7.25 5 0.16862 0.418147 0.5882639562987
7.5 5 0.181666 0.470697 0.678467135394126
7.75 5 0.190424 0.510172 0.750493
3 10 1.5912e-05 1.84871e-05 2.24234e-05
3.25 10 3.29814e-05 3.8781e-05 4.55637e-05
3.5 10 6.80036e-05 8.10992e-05 9.26464e-05
3.75 10 0.000140094 0.000169173 0.000188704
4 10 0.000287737 0.000351472 0.000384408
4.25 10 0.000600669 0.000742104 0.000809884
4.5 10 0.00123402 0.00154299 0.00168991
4.75 10 0.00246509 0.00312075 0.00343149
5 10 0.0048521 0.00622078 0.00687131
5.25 10 0.0100342 0.0130992 0.0145507
5.5 10 0.01927 0.0259205 0.0289391
5.75 10 0.0333202 0.0474973 0.0535129
6 10 0.0516893 0.0807646 0.0929127
6.25 10 0.0715735 0.125275 0.149399
6.5 10 0.0918394 0.180207 0.225095
6.75 10 0.111465 0.24145 0.316248
7 10 0.130517 0.305534 0.417063
7.25 10 0.148627 0.368793 0.520032
7.5 10 0.163351 0.423361 0.611699
7.75 10 0.174316 0.467066 0.686915
3 20 9.01352999999999e-06 1.04585e-05 1.27016e-05
3.25 20 1.8713e-05 2.18366e-05 2.57163e-05
3.5 20 3.8496e-05 4.54541e-05 5.2043e-05
3.75 20 7.97948e-05 9.51654000000001e-05 0.000106363
