Var1 Var2 Var3 Var4 Var5
3 0 4.94793e-05 5.67436e-05 6.7911e-05
3.25 0 0.000103271 0.000119472 0.000138791
3.5 0 0.00021387 0.000251111 0.000284309
3.75 0 0.000442992 0.000527339 0.000584363
4 0 0.000912846 0.00110132 0.00119932
4.25 0 0.00186179 0.00227667 0.00247097
4.5 0 0.0037274 0.00461852 0.00503602
4.75 0 0.00738555 0.00926859 0.0101538
5 0 0.0144519 0.0184637 0.0203204
5.25 0 0.0309311 0.040997 0.0454316
5.5 0 0.0588374 0.083057 0.0930578
5.75 0 0.0930108 0.144348 0.165387
6 0 0.122681 0.213729 0.254213
6.25 0 0.144119 0.281889 0.35164
6.5 0 0.165627 0.357836 0.468515
6.75 0 0.193363 0.451411 0.616282
7 0 0.22791 0.563601 0.795028
7.25 0 0.260638 0.672559 0.972187
7.5 0 0.28141 0.749902 1.10392
7.75 0 0.291722 0.797191 1.19004
3 2 4.85545e-05 5.5666e-05 6.66206e-05
3.25 2 0.000101434 0.00011728 0.000136245
3.5 2 0.000210237 0.000246684 0.000279294
3.75 2 0.000434877 0.0005173 0.000573225
4 2 0.000895032 0.00107891 0.00117489
4.25 2 0.00182635 0.00223124 0.00242119
4.5 2 0.00365907 0.00452954 0.00493789
4.75 2 0.00725902 0.00910218 0.00996867
5 2 0.0142091 0.0181429 0.0199621
5.25 2 0.0303952 0.0402709 0.044615
5.5 2 0.0578793 0.0817014 0.0915245
5.75 2 0.0928639 0.144155 0.165175
6 2 0.125883 0.219378 0.260973
6.25 2 0.151789 0.296961 0.370499
6.5 2 0.176492 0.381359 0.499373
6.75 2 0.204676 0.477855 0.652432
7 2 0.236002 0.583618 0.823308
7.25 2 0.263529 0.680024 0.983
7.5 2 0.280811 0.748293 1.10158
7.75 2 0.290174 0.792936 1.18372
3 5 4.44626e-05 5.09042e-05 6.09211000000001e-05
3.25 5 9.30133999999999e-05 0.000107274 0.000124622
3.5 5 0.000192852 0.00022562 0.000255449
3.75 5 0.000398036 0.000471864 0.000522879
4 5 0.000818142 0.000982426999999999 0.00106976
4.25 5 0.00167955 0.00204316 0.00221529
4.5 5 0.00339074 0.00417923 0.00455095
4.75 5 0.00672604 0.00840224 0.00919102
5 5 0.0131244 0.0167135 0.0183682
5.25 5 0.0274676 0.0363297 0.0402036
5.5 5 0.0519709 0.073354 0.0821314
5.75 5 0.085411 0.132742 0.152143
6 5 0.121154 0.211444 0.251731
6.25 5 0.151375 0.296478 0.370178
6.5 5 0.178528 0.38601 0.505752
6.75 5 0.205729 0.480459 0.656243
7 5 0.232365 0.574681 0.81091
7.25 5 0.255231 0.658594 0.952188
7.5 5 0.271305 0.722912 1.06433
7.75 5 0.281778 0.769921 1.14945
3 10 3.47232e-05 3.96363e-05 4.74458e-05
3.25 10 7.26005e-05 8.32275e-05 9.67154e-05
3.5 10 0.000150105 0.000174401 0.000197508
3.75 10 0.000309461 0.000363977 0.000403402
4 10 0.000635957 0.000756884 0.000824248
4.25 10 0.00132141 0.00159183 0.00172333
4.5 10 0.00270263 0.00329786 0.00358356
4.75 10 0.00533936 0.00661177 0.00721433
5 10 0.0103387 0.013086 0.0143474
5.25 10 0.0207993 0.0274203 0.0302816
5.5 10 0.0382633 0.0540309 0.0604619
5.75 10 0.0627841 0.0978773 0.112313
6 10 0.0919493 0.161065 0.192152
6.25 10 0.121494 0.238644 0.298604
6.5 10 0.149936 0.324773 0.426234
6.75 10 0.176294 0.41209 0.563533
7 10 0.20159 0.49871 0.704281
7.25 10 0.225337 0.581417 0.841055
7.5 10 0.244315 0.650838 0.958568
7.75 10 0.258273 0.705483 1.05352
3 20 2.04009e-05 2.31982e-05 2.78165e-05
3.25 20 4.26432e-05 4.83611e-05 5.6302e-05
3.5 20 8.76214e-05 0.000100597 0.000114136
3.75 20 0.000181083 0.000210207 0.000233363
4 20 0.00037354 0.000438205 0.000477877
4.25 20 0.000768525 0.000911527 0.000986409
4.5 20 0.00156282 0.00187715 0.00203656
4.75 20 0.0031064 0.00379324 0.00412911
5 20 0.0060251 0.00755318 0.00826125
5.25 20 0.0116319 0.015273 0.0168418
5.5 20 0.0209126 0.029589 0.0331403
5.75 20 0.0340953 0.0534602 0.0615497
6 20 0.0507592 0.0895079 0.107285
6.25 20 0.0702456 0.138761 0.17445
6.5 20 0.0915081 0.198982 0.262219
6.75 20 0.114192 0.267475 0.366956
7 20 0.138373 0.342534 0.484885
7.25 20 0.162829 0.41999 0.608583201206211
7.5 20 0.185166 0.492841 0.72656999886006
7.75 20 0.204307 0.557473 0.832959745524849
3 30 1.32019e-05 1.49861e-05 1.80189e-05
3.25 30 2.77974e-05 3.13558e-05 3.6611e-05
3.5 30 5.75146e-05 6.54538e-05 7.44781000000001e-05
3.75 30 0.000118085 0.000135812 0.00015119
4 30 0.000242242 0.000281428 0.000307675
4.25 30 0.000496551 0.000583026 0.000631994
4.5 30 0.00100928 0.00120014 0.00130314
4.75 30 0.00201664 0.00244075 0.0026574
5 30 0.0039231 0.00488758 0.00534594
