Var1 Var2 Var3 Var4 Var5
3 9.3 0.00202541 0.00229216 0.00265854
3.25 9.3 0.00407507 0.00456618 0.00519029
3.5 9.3 0.00798246 0.0091501 0.0102144
3.75 9.3 0.0153805 0.0182875 0.0201025
4 9.3 0.0290488 0.0366273 0.0397798
4.25 9.3 0.0527315 0.0724708 0.0796684
4.5 9.3 0.0911138 0.139905 0.158979
4.75 9.3 0.149287 0.259256 0.307851
5 9.1 0.235335 0.459758 0.573879
5.25 7.2 0.419352 0.903915 1.17968090434601
5.5 5.6 0.643893 1.49747 2.04133
5.75 4.2 0.819363 2.01596 2.83718
6 2.9 0.894934 2.29554 3.30899
6.25 1.9 0.920564 2.43686 3.5764
6.5 1.1 0.968084 2.6271 3.90956
6.75 0.6 1.06933 2.96185 4.45783
7 0.2 1.21343 3.42065 5.19861
7.25 0 1.35216 3.86842 5.93059
7.5 0 1.43419 4.16412 6.4353
7.75 0 1.47096 4.3257 6.74107
3 9.5 0.00199081 0.00225297 0.00261314
3.25 9.5 0.00400841 0.00449132 0.00510543
3.5 9.5 0.00785681 0.00900597 0.0100543
3.75 9.5 0.0151303 0.0179559169380864 0.0197785
4 9.5 0.0285617 0.0360172 0.0391228
4.25 9.5 0.0518011 0.0712017 0.0782861
4.5 9.5 0.0894506 0.137373 0.156128
4.75 9.5 0.146665 0.254738 0.301441014188426
5 9.3 0.231281 0.451905 0.564179
5.25 7.5 0.412479 0.889255 1.16069432675364
5.5 5.9 0.636883 1.48141 2.01456205779545
5.75 4.6 0.825639 2.03138 2.85238377825023
6 3.6 0.927736 2.37976 3.43099
6.25 2.8 0.983737 2.60411 3.82234
6.5 2.3 1.0486 2.8455 4.23496
6.75 2.1 1.14365 3.16758 4.76776
7 2 1.26286 3.55992 5.41054
7.25 2 1.37297 3.92788 6.02202
7.5 2 1.43674 4.1715 6.44715
7.75 2 1.46768 4.31603 6.72608
3 10.5 0.00182821 0.00206887 0.0023999
3.25 10.5 0.0036763 0.00411855 0.00468284
3.5 10.5 0.00719169 0.00824341 0.0092065
3.75 10.5 0.0138313 0.0164498 0.0180941
4 10.5 0.0260829 0.0329057 0.0356091101681411
4.25 10.5 0.0473604 0.0651396 0.0716786
