Var1 Var2 Var3 Var4 Var5
3 9.3 0.038875912957833 0.111543 0.464939
3.25 9.3 0.062574475795722 0.161832 0.638801
3.5 9.3 0.0987007 0.232713 0.870506
3.75 9.3 0.142183 0.331524 1.17909
4 9.3 0.196658 0.468101 1.59088
4.25 9.3 0.270303 0.656458 2.14447
4.5 9.3 0.368396 0.912368 2.88233
4.75 9.3 0.496132 1.25291 3.84918
5 9.1 0.651658 1.6783 5.03991
5.25 7.2 0.897183 2.36499 6.96786
5.5 5.6 1.0827 2.91728 8.46996
5.75 4.2 1.16603 3.20209 9.19433
6 2.9 1.13856 3.1757 9.04211
6.25 1.9 1.08324 3.06024 8.6575
6.5 1.1 1.07304 3.06455 8.62613
6.75 0.6 1.13327 3.26772 9.16017
7 0.2 1.2309 3.58028 9.99963
7.25 0 1.31452 3.85348 10.7262
7.5 0 1.34341 3.96675 11.0057
7.75 0 1.32818 3.94727 10.9149
3 9.5 0.038033670723169 0.109093 0.455132
3.25 9.5 0.0612047226600525 0.158231 0.625036
3.5 9.5 0.0964784 0.227555 0.851766
3.75 9.5 0.13914 0.324311 1.15406
4 9.5 0.192505 0.458043 1.55739
4.25 9.5 0.264803 0.642858 2.10076
4.5 9.5 0.361286 0.894498 2.82631
4.75 9.5 0.487303 1.22148279067521 3.77978
5 9.3 0.640716 1.64928 4.95351
5.25 7.5 0.889265 2.34227 6.90195
5.5 5.9 1.08424 2.91897 8.47606
5.75 4.6 1.19559 3.28044 9.42038
6 3.6 1.21203 3.37818 9.61939
6.25 2.8 1.19802 3.37456163188228 9.56999
6.5 2.3 1.21458 3.46745 9.76044
6.75 2.1 1.26948 3.65947 10.2584
7 2 1.34331 3.9066 10.9107
7.25 2 1.40055 4.10546 11.4276
7.5 2 1.40904 4.15870765630708 11.5431
7.75 2 1.38386 4.11328 11.3713
3 10.5 0.0337733457673993 0.0973895 0.408099
3.25 10.5 0.0547142973918471 0.141195 0.559894
3.5 10.5 0.0859915 0.20319 0.763011
3.75 10.5 0.124556 0.289817 1.03404
4 10.5 0.172714 0.40669730985916 1.39766
4.25 10.5 0.238284 0.577387 1.88984
4.5 10.5 0.32641 0.806503 2.55159
4.75 10.5 0.443064 1.11597 3.43223
5 10.3 0.585901 1.50469 4.52265
5.25 8.8 0.809815 2.12619 6.27056
5.5 7.5 1.01529 2.72296 7.91183
5.75 6.5 1.17066 3.19959 9.19285
6 5.8 1.25429 3.48423 9.92502
6.25 5.4 1.29259 3.64021 10.301
6.5 5.1 1.31734 3.75365 10.5671
6.75 5 1.35563 3.90255 10.9397
7 5 1.40746 4.08869 11.4196
7.25 5 1.44407 4.22997 11.7735
7.5 5 1.44762 4.27207 11.8506
7.75 5 1.41964 4.21828 11.6593
3 13.6 0.0242778095216925 0.0698434 0.296496
3.25 13.6 0.0394494522382091 0.101267 0.406076
3.5 13.6 0.0618911 0.146071 0.553687
3.75 13.6 0.0901715 0.208819 0.750798
4 13.6 0.125586 0.296836 1.01764
4.25 13.6 0.17429 0.420163 1.382
4.5 13.6 0.240767 0.591732 1.87917
4.75 13.6 0.331866 0.823111062815479 2.56377
5 13.5 0.44415 1.13341 3.41421
