Var1 Var2 Var3 Var4 Var5
3 0 0.000145356 0.00016553 0.000201167
3.25 0 0.000303706 0.000346935 0.00041376
3.5 0 0.000628035 0.000726623 0.000852786
3.75 0 0.00129154 0.00151283 0.00175253
4 0 0.00264379 0.00313519 0.00359549
4.25 0 0.00534151 0.00641959 0.00730563
4.5 0 0.0105741 0.0129424 0.0146421
4.75 0 0.0203343 0.0257039 0.0289778
5 0 0.0378346 0.0506788 0.057286
5.25 0 0.076309 0.111559 0.127986
5.5 0 0.134406 0.219636 0.25935
5.75 0 0.196112 0.361124 0.444794
6 0 0.240831 0.494972 0.639871
6.25 0 0.268369 0.60338 0.816263
6.5 0 0.296361 0.713352 1.00137
6.75 0 0.336494 0.851803 1.22915
7 0 0.388143 1.02021 1.5013
7.25 0 0.437079 1.18263 1.76569
7.5 0 0.467241 1.294 1.95241
7.75 0 0.481652 1.35989 2.06852
3 2 0.000142841 0.000162652 0.000197531
3.25 2 0.000298715 0.000341147 0.000406592
3.5 2 0.000618195 0.000715005 0.000838657
3.75 2 0.00126986 0.00148649 0.0017215
4 2 0.00259677 0.00307811 0.00352815
4.25 2 0.00524622 0.0063026 0.00716882
4.5 2 0.0103864 0.0127089 0.0143715
4.75 2 0.0199866 0.0252622 0.0284699
5 2 0.0371903 0.0498204 0.0563033
5.25 2 0.0749101 0.109546 0.125665
5.5 2 0.132275 0.216246 0.255357
5.75 2 0.196135 0.361323 0.445098
6 2 0.247533 0.508911 0.657959
6.25 2 0.283727 0.638037 0.863186
6.5 2 0.317463 0.764224 1.07278
6.75 2 0.356891 0.903478 1.30369
7 2 0.401977 1.0566 1.55478
7.25 2 0.441795 1.19539 1.78469
7.5 2 0.466085 1.29076 1.9475
7.75 2 0.478734 1.35164 2.05591
3 5 0.000131654 0.000149845 0.00018137
3.25 5 0.0002754 0.000314157 0.000373283
3.5 5 0.000569683 0.000657936 0.000769537
3.75 5 0.00116744 0.00136457 0.00157569
4 5 0.00238293 0.00281927 0.00322326
4.25 5 0.00482955 0.00579158 0.00657174
4.5 5 0.00960427 0.0117373 0.013244
4.75 5 0.0184519 0.0233135 0.0262296
5 5 0.0342085 0.0458484 0.0517604
5.25 5 0.067605 0.0989966 0.113512
5.5 5 0.119012 0.194941 0.230248
5.75 5 0.181114 0.334306 0.412029
6 5 0.239645 0.493437 0.63822
6.25 5 0.284463 0.640302 0.866412
6.5 5 0.322082 0.775741 1.08893
6.75 5 0.358803 0.908535 1.31083
7 5 0.395562 1.03982 1.52984
7.25 5 0.427639 1.1571 1.72719
7.5 5 0.450046 1.24633 1.88009
7.75 5 0.464349 1.31099 1.99374
3 10 0.000104172 0.000118443 0.000142047
