Var1 Var2 Var3 Var4 Var5
3 9.3 0.000947864999999999 0.00107171 0.00124412
3.25 9.3 0.00193641 0.00217178 0.00246889
3.5 9.3 0.0038776 0.00441242 0.00492265
3.75 9.3 0.00767324 0.00890905 0.00977373
4 9.3 0.0150247 0.0180285 0.0194922
4.25 9.3 0.028532 0.0361655 0.0390186
4.5 9.3 0.0518464 0.0714025 0.0786016
4.75 9.3 0.0890242 0.136706 0.155345
5 9.1 0.145831 0.252981 0.300095
5.25 7.2 0.266467 0.519231 0.646411
5.5 5.6 0.423837 0.911769 1.1907
5.75 4.2 0.561428 1.30473 1.77608
6 2.9 0.634171 1.56123 2.19609
6.25 1.9 0.666357 1.71193 2.46809
6.5 1.1 0.709346 1.88193 2.7635
6.75 0.6 0.788345 2.14509 3.19471
7 0.2 0.898704 2.49665 3.76092
7.25 0 1.00466 2.84094 4.32121
7.5 0 1.07037 3.07404 4.71608
7.75 0 1.10131 3.20699 4.9585
3 9.5 0.000931881 0.00105356 0.00122302
3.25 9.5 0.00190522 0.00213655 0.00242885
3.5 9.5 0.00381764 0.00434371 0.00484608
3.75 9.5 0.00755001 0.00876542 0.00961654
4 9.5 0.0147743 0.0177284 0.019169
4.25 9.5 0.0280332 0.0355365 0.0383443
4.5 9.5 0.0509085 0.0701216 0.0771446951602473
4.75 9.5 0.0874677 0.134339 0.152681
5 9.3 0.143314 0.248665 0.295024
5.25 7.5 0.261853 0.510365 0.63551
5.5 5.9 0.418479 0.900472 1.17625
5.75 4.6 0.564366 1.31184 1.78615
6 3.6 0.655311 1.61345 2.26996
6.25 2.8 0.709182 1.82201 2.62714
6.5 2.3 0.764563 2.02846 2.97895
6.75 2.1 0.839355 2.28382 3.40154
7 2 0.931537 2.58782 3.89841
7.25 2 1.01603 2.87304 4.37019
7.5 2 1.06812 3.06761 4.70628
7.75 2 1.09498 3.18854 4.93014
3 10.5 0.000857623 0.000969352 0.00112523
3.25 10.5 0.00175185 0.00196351 0.00222924229363403
3.5 10.5 0.00350469 0.00398567 0.00444716
3.75 10.5 0.00691942 0.0080309 0.00881273
4 10.5 0.0135197 0.0162235 0.0175485
4.25 10.5 0.0256801 0.032567 0.0351597
4.5 10.5 0.0467784 0.0644784 0.0710359
4.75 10.5 0.0803345 0.12349 0.140455
5 10.3 0.131379 0.228164 0.270922
5.25 8.8 0.236318 0.461114 0.574751
5.5 7.5 0.379165 0.816815 1.06815
5.75 6.5 0.526618 1.22521 1.66996
6 5.8 0.641126 1.57937 2.2239
6.25 5.4 0.71684 1.84205 2.65768
6.5 5.1 0.778622 2.06575 3.03503
6.75 5 0.843983 2.29624 3.42105
7 5 0.916772 2.54654 3.83713
7.25 5 0.983812 2.7817 4.23207
7.5 5 1.03153 2.96233 4.54564
7.75 5 1.06107 3.08971 4.77804
3 13.6 0.000672254 0.000759457 0.000881797
3.25 13.6 0.0013622 0.00152507 0.00173455
3.5 13.6 0.00270105 0.00306833 0.00342587
3.75 13.6 0.00532468 0.00617587 0.00678338
4 13.6 0.0103876 0.0124669 0.0135023
4.25 13.6 0.0198156 0.0251567 0.0272043
4.5 13.6 0.0363067 0.0501338 0.0553385
4.75 13.6 0.0622205 0.0958528 0.109253
5 13.5 0.10137 0.176456 0.209997
5.25 12.3 0.174638 0.341661 0.426974
5.5 11.4 0.272575 0.588699 0.771969
5.75 10.8 0.381673 0.889787 1.21596
6 10.4 0.482851 1.19094 1.68071
6.25 10.2 0.57203 1.47068 2.12562
6.5 10.1 0.649108 1.72213 2.53356
6.75 10 0.719609 1.95738 2.9192
7 10 0.792928 2.20192 3.32047
7.25 10 0.865588 2.44684 3.71980148404435
7.5 10 0.924422 2.65435 4.07537
7.75 10 0.966708 2.8148 4.35519
3 22.1 0.000381405 0.000430965 0.000496306
3.25 22.1 0.000768612 0.000859346 0.000978187
3.5 22.1 0.0015136 0.00171701 0.00192289
3.75 22.1 0.00298092 0.00345513 0.00380834
4 22.1 0.00580662 0.00697386999999999 0.00758433
4.25 22.1 0.0109592 0.0139454 0.0151497
4.5 22.1 0.0199378 0.0276305 0.0306504
4.75 22.1 0.0346543 0.0536165 0.0614367
5 22 0.0570766 0.0998229 0.119453
5.25 21.3 0.0948907 0.186517 0.234112338730097
5.5 20.8 0.145546 0.31566 0.416451
5.75 20.4 0.201855 0.472234 0.648998
6 20.2 0.259714 0.642062 0.910766
6.25 20.1 0.32134 0.827024 1.20066
6.5 20 0.385713 1.02338 1.51122
6.75 20 0.456249 1.24039 1.85559
7 20 0.533025 1.47906 2.23252823162224
7.25 20 0.612147 1.7293 2.63863
7.5 20 0.685641 1.9679 3.02757
7.75 20 0.749812 2.18304 3.38406
3 31.4 0.000236338 0.000267461 0.000302473
3.25 31.4 0.000478209 0.000534696 0.000598807
3.5 31.4 0.000944173 0.00107102 0.00118982
3.75 31.4 0.00184944 0.00214456 0.00236931
4 31.4 0.0035817 0.0043075 0.00470861
4.25 31.4 0.00675862 0.00862086 0.00941473
4.5 31.4 0.0123155 0.0171225 0.0190974
4.75 31.4 0.0214294 0.033278 0.0383455
5 31.3 0.035321 0.0619962 0.0746094
5.25 30.9 0.0580622 0.114551 0.144822
5.5 30.5 0.0888094 0.193302 0.256427
5.75 30.3 0.123732 0.290277 0.401129
6 30.1 0.161304 0.39956 0.569721
6.25 30.1 0.203904 0.525359 0.766362
6.5 30 0.251084 0.666389 0.988262
6.75 30 0.305627 0.830661 1.24742
7 30 0.367967 1.02051 1.54819
