Var1 Var2 Var3 Var4 Var5 Var6 Var7
3 9.3 0.0537679118048055 0.0874008 0.154841 0.189544 0.275435
3.25 9.3 0.0832060065973989 0.141642 0.249179 0.320182 0.440619
3.5 9.3 0.114408470181753 0.220605 0.385082 0.515214 0.67702
3.75 9.3 0.163025606993359 0.331208 0.573321 0.790609 1.00238
4 9.3 0.229516002787132 0.483902 0.830346 1.16951 1.44411
4.25 9.3 0.320137731954878 0.693726 1.17995 1.6863 2.04228
4.5 9.3 0.440870144112049 0.976459 1.64707 2.37792 2.83819
4.75 9.3 0.598300222646232 1.35056 2.26044 3.2889 3.88061
5 9.1 0.834461769485188 1.83165 3.04472 4.45945 5.20772
5.25 7.2 1.06890545694871 2.57447 4.25797 6.28151 7.22997
5.5 5.6 1.3244653430586 3.18381 5.24298 7.78871 8.85837000000001
5.75 4.2 1.43146737882618 3.49083847154095 5.74622 8.59086 9.68786
6 2.9 1.40240866878131 3.45216734451575 5.68637 8.54805 9.59237
6.25 1.9 1.33882489453579 3.31926643549182 5.4652 8.25541 9.24933
6.5 1.1 1.3302279304725 3.31651430466271 5.45411 8.27446 9.27558
6.75 0.6 1.46899003249744 3.5232391848464 5.78997 8.8194 9.90812
7 0.2 1.53493394267727 3.84549076477773 6.31805 9.65939 10.8902
7.25 0 1.64504052530801 4.12232819995073 6.77255 10.3911 11.7701
7.5 0 1.68712186523105 4.22395319638628 6.94014 10.6841 12.1686
7.75 0 1.6729642627553 4.16764105988419 6.87034 10.6102 12.1594
3 9.5 0.0525879074367361 0.0854362 0.151354 0.185272 0.269429
3.25 9.5 0.0773408503136676 0.138509 0.243657 0.313079 0.431166
3.5 9.5 0.111998669396024 0.215835 0.376736 0.504027 0.662815
3.75 9.5 0.159629046860832 0.324117 0.561021 0.773594 0.981542
4 9.5 0.224871317338298 0.473809 0.812985 1.14498 1.41488
4.25 9.5 0.299216007395458 0.679746 1.15617 1.65206 2.00233
4.5 9.5 0.432681875406804 0.957662 1.61522 2.3317 2.78513
4.75 9.5 0.588002369639589 1.32625 2.21954 3.22902 3.81286
5 9.3 0.783997632867781 1.80083 2.99308 4.38337 5.12283
5.25 7.5 1.08493265909452 2.55024 4.21727 6.22026 7.16619
5.5 5.9 1.26648119081717 3.18632 5.24616 7.79135 8.87111
5.75 4.6 1.46889244756118 3.59028 5.88826 8.80062 9.93554
6 3.6 1.49429152843344 3.67683792551754 6.05144 9.09452 10.2164
6.25 2.8 1.48301766446654 3.65474468286633 6.04778 9.13357 10.2419
6.5 2.3 1.50891226366955 3.75874885611047 6.18185 9.37719 10.5189
6.75 2.1 1.65069740061699 3.98474616705568 6.50285 9.90432 11.1328
7 2 1.68144110220571 4.21042025738811 6.91792 10.5757 11.9291
7.25 2 1.75927001768101 4.40685451318902 7.2402 11.108 12.5866
7.5 2 1.84142813391162 4.44451620350351 7.30269 11.2417 12.8075
7.75 2 1.74847920598616 4.38107593868947 7.17877 11.0862 12.7081
3 10.5 0.047099191654714 0.0763154 0.135177 0.165446 0.241487
3.25 10.5 0.0692324030363155 0.12365 0.217478 0.279393 0.386199
3.5 10.5 0.100317673628366 0.192776 0.33642 0.449998 0.593952
3.75 10.5 0.143272510552565 0.290055 0.501933 0.691946 0.881194
4 10.5 0.212386907800287 0.42523 0.729397 1.02695 1.27371
4.25 10.5 0.283699310641735 0.612414 1.04128 1.48732 1.80931
4.5 10.5 0.375052034990419 0.866741 1.46122 2.10848 2.52779
4.75 10.5 0.537067750671549 1.20718 2.01924 2.93608 3.47976
5 10.3 0.719608808646747 1.6467 2.7357 4.0038 4.69689
5.25 8.8 0.991924136305106 2.32082 3.83511 5.65145 6.54023
5.5 7.5 1.24747822842508 2.97901 4.90072 7.2698 8.31931
5.75 6.5 1.5123063907996 3.51174 5.75427 8.58938 9.74743
6 5.8 1.55519875622951 3.81914233252909 6.26147 9.39899 10.6103
6.25 5.4 1.68179818912999 3.96979132196016 6.53027 9.85283 11.0933
6.5 5.1 1.64699445647888 4.08565037293943 6.72188 10.1886 11.4672
6.75 5 1.66585738765524 4.23769561449671 6.96637 10.6044 11.9521
7 5 1.77129358595489 4.42405375433763 7.27043 11.1101 12.5595
7.25 5 1.75517724122712 4.55757190357395 7.48901 11.4864 13.0387
7.5 5 1.83214056663761 4.58203109796512 7.52309 11.5786 13.2111
7.75 5 1.80106057912037 4.51132800349002 7.38542 11.4037 13.0885
3 13.6 0.034181197859171 0.0549632 0.0973134 0.119063 0.175686
3.25 13.6 0.0501795977381043 0.0889132 0.156305 0.200719 0.28048
3.5 13.6 0.0727674917686961 0.138699 0.241904 0.323402 0.431514
3.75 13.6 0.104418498913405 0.209627 0.362481 0.499384 0.642886
4 13.6 0.148517862273148 0.309281 0.530022 0.745648 0.934867
4.25 13.6 0.200626486850348 0.449083 0.762704 1.0884 1.33839
4.5 13.6 0.293656840228192 0.641764 1.08052 1.55735 1.88731
4.75 13.6 0.406693327196023 0.905263 1.51195 2.19547 2.63024
5 13.5 0.575080594654423 1.24718 2.06827 3.02206 3.58431
5.25 12.3 0.739265966214254 1.70863 2.81774 4.143 4.85426
5.5 11.4 0.903184513548795 2.17443 3.56887 5.27947 6.12315
5.75 10.8 1.09496002308791 2.62427 4.28974 6.38346 7.34456
6 10.4 1.24249178214112 3.02394 4.92507 7.37124 8.42996
6.25 10.2 1.36744443600341 3.35846780876954 5.4739 8.23731 9.38339
6.5 10.1 1.47173632500309 3.63152983853704 5.93747 8.97972 10.2099
6.75 10 1.5678264341211 3.88368836865956 6.36111 9.66663 10.989
7 10 1.65788240171963 4.12026103049725 6.75258 10.3055 11.7342
7.25 10 1.73516108199412 4.32408424998421 7.08293 10.8531 12.3947
7.5 10 1.77288038327139 4.42783815057627 7.24215 11.1384 12.774
7.75 10 1.76724074515406 4.42161711109073 7.21567 11.1358 12.8368
3 22.1 0.0168802364390783 0.0265962 0.0470378 0.0575084 0.0873835
3.25 22.1 0.024695858182381 0.042867 0.0752626 0.0965619 0.138937
3.5 22.1 0.0343192498353597 0.0668352 0.116384 0.155425 0.213507
3.75 22.1 0.0518317064175563 0.101862 0.175793 0.241866 0.320514
4 22.1 0.0745791264580137 0.151968 0.2598 0.364908 0.470865
4.25 22.1 0.104303787005955 0.222642 0.377011 0.536957 0.679462
4.5 22.1 0.150606665024463 0.321694 0.539721 0.776101 0.967721
4.75 22.1 0.220591031652643 0.461327 0.767337 1.11124 1.36967
5 22 0.291551190053606 0.644405 1.06367 1.54916 1.89066
5.25 21.3 0.380008152507211 0.854813 1.40217 2.05317 2.47957
5.5 20.8 0.453461216641471 1.07788 1.75853 2.58882 3.09853
5.75 20.4 0.573579254702911 1.3342 2.16722 3.20727 3.80938
6 20.2 0.685543900383285 1.62009 2.6217 3.90119 4.60355
6.25 20.1 0.804067613539778 1.9085761933671 3.11107 4.65519 5.46418
6.5 20 0.928820045451554 2.25824 3.63194 5.46505 6.38824
6.75 20 1.05756752411232 2.59795767617337 4.17362 6.31361 7.36161
7 20 1.14905721237726 2.93518036622353 4.72896 7.19029 8.37425
7.25 20 1.27368712059243 3.24591304119781 5.26454 8.04278 9.37057
7.5 20 1.41766711359484 3.52353679422164 5.68912 8.72946999999999 10.1885
7.75 20 1.48618826726627 3.73140468295673 5.97619 9.20665 10.7777
3 31.4 0.00941718668015126 0.0145164 0.0256408 0.0313287 0.0491726
3.25 31.4 0.0137609886455988 0.0233656 0.0409625 0.0525151 0.0780384
3.5 31.4 0.0199511888942461 0.0364233 0.063311 0.0844709 0.119817
3.75 31.4 0.0290520885300559 0.0558307 0.0961398 0.13213 0.180745
4 31.4 0.0420590240408491 0.0838006 0.14286 0.200397 0.266848
4.25 31.4 0.0602697679449795 0.123282 0.208035 0.295846 0.386199
4.5 31.4 0.0856757828073362 0.178885 0.298886 0.429017 0.551689
4.75 31.4 0.121497201884438 0.258118 0.427298 0.617473 0.784694
5 31.3 0.168397817814814 0.363505 0.596796 0.867037 1.09093
5.25 30.9 0.218964210258013 0.480432 0.78332 1.14357 1.42467
5.5 30.5 0.273587494801361 0.609896 0.988582 1.45006 1.79119
5.75 30.3 0.327351501395164 0.761255855083168 1.23474 1.8199 2.23136
6 30.1 0.413383639253708 0.94458397957724 1.52763 2.26311 2.75651
6.25 30.1 0.499421262359177 1.16648 1.86755 2.78169 3.36838
6.5 30 0.597094707658718 1.370299965747 2.25919 3.38357 4.07715
6.75 30 0.70657523394242 1.69752 2.70312 4.07122 4.88612
7 30 0.82695584819482 1.94344622202996 3.19479 4.83838 5.79019
7.25 30 0.953481624121868 2.26177181541636 3.71388 5.65428 6.75566
7.5 30 1.07272098589687 2.64603840867161 4.20347 6.43138 7.68177
7.75 30 1.17434871217621 2.91050068189732 4.62432 7.1074 8.4974
3 41.1 0.00574677613694238 0.00894461000000001 0.0157788 0.0192684 0.031269
3.25 41.1 0.00867930889044871 0.0144121 0.0252277 0.0323211 0.049649
3.5 41.1 0.0126050591977458 0.0225041 0.0390436 0.0520519 0.0762995
3.75 41.1 0.0183484259658526 0.0344861 0.0592421 0.081344 0.114951
4 41.1 0.0265890091399667 0.0518163 0.0880729 0.12341 0.169693
4.25 41.1 0.038143178271478 0.076321 0.128324 0.182258 0.245571
4.5 41.1 0.052814499985677 0.110914 0.184512 0.264464 0.350866
4.75 41.1 0.0771557870542102 0.160359 0.264117 0.381037 0.499373
5 41 0.107438266901965 0.226855 0.370295 0.53695 0.696528
5.25 40.6 0.143557404968981 0.29984 0.485723 0.707516 0.908852
5.5 40.4 0.175880163108209 0.383075 0.616572 0.902032 1.14895
5.75 40.2 0.219785879291473 0.482478004376566 0.778082 1.14346 1.44572
6 40.1 0.272810905036234 0.612551 0.97634 1.44155 1.81063
6.25 40 0.344686320085936 0.74693706325681 1.21645 1.80521 2.25373
6.5 40 0.410142095224278 0.934649332381407 1.50306 2.24257 2.78458
6.75 40 0.495443842738648 1.16332 1.83737 2.75653 3.40693
7 40 0.577377241640868 1.4078 2.21818 3.3472 4.12037
7.25 40 0.697740498659932 1.68115 2.64285 4.01031 4.92225
7.5 40 0.807842932313095 1.96845 3.0873 4.71047 5.77034
7.75 40 0.904207890518192 2.20241828891913 3.51888 5.39843 6.61702
3 50.9 0.00412753640947471 0.0061079 0.0105797 0.0129137 0.0218897975373562
3.25 50.9 0.00603964931834626 0.00982584255453188 0.0169161 0.021661 0.0347472305130965
3.5 50.9 0.0087779332328944 0.0151571442127608 0.0261932 0.0348985 0.0536690610309512
3.75 50.9 0.0127533879466093 0.0231906406779704 0.0396606 0.0544183 0.0808218
4 50.9 0.0184446882058003 0.034783175241004 0.058821 0.0823552 0.118962
4.25 50.9 0.0264344535235703 0.051098 0.0855919 0.121459 0.171833
4.5 50.9 0.0375869568410043 0.0741955 0.122872 0.175943 0.244992
4.75 50.9 0.0533459067680093 0.107175 0.175589 0.253055 0.347988
5 50.8 0.0743590189091479 0.151874 0.246415 0.356918 0.4854
5.25 50.5 0.0963858347523948 0.200784 0.323059 0.470011 0.629727
5.5 50.3 0.121548141794684 0.257652 0.411653 0.601403 0.796777
5.75 50.2 0.152942525382664 0.329256 0.522991 0.767371 1.0086
6 50.1 0.195657498003535 0.418962 0.662357 0.976312 1.27716
6.25 50 0.240184388734317 0.530351 0.835224 1.23736 1.61594
6.5 50 0.299095898125436 0.666732 1.04666 1.55901 2.03975
6.75 50 0.370732036320484 0.831838 1.30237 1.9511 2.5674
7 50 0.456998810625776 1.02839 1.60624 2.42075 3.21798
7.25 50 0.558662332490347 1.25533 1.95629 2.96601 4.00267
7.5 50 0.672643656296797 1.50216 2.33573 3.56192 4.90488
7.75 50 0.795370487384465 1.75705 2.72578 4.17937 5.91153
3 70.6 0.00244381 0.00414639 0.00637216292487604 0.00934181 0.0131934
3.25 70.6 0.0035668 0.0063758 0.0101414 0.0148594 0.0209859
3.5 70.6 0.00516915 0.00994804999999999 0.0150188 0.0228773 0.0324865
3.75 70.6 0.00748774307255918 0.0147079 0.0233658 0.0342517 0.0503162
4 70.6 0.0107999653447247 0.0213634 0.0352647 0.0501825 0.0755619
4.25 70.6 0.0154473384399262 0.0315054 0.0512143238621761 0.0721873 0.110645
4.5 70.6 0.0218874062102822 0.0447885 0.0740336829713695 0.102338 0.158932
4.75 70.6 0.0309989795219638 0.06282 0.105093396599282 0.144719 0.227045
5 70.6 0.0433894235109838 0.0872002 0.147437425339542 0.202367 0.320007
5.25 70.4 0.0566994455661533 0.11297 0.196531 0.264925 0.42053
5.5 70.2 0.0723689357345108 0.143255 0.249104728927173 0.33927 0.540992
5.75 70.1 0.0926194268708109 0.182496 0.322743194520646 0.436284 0.699781
6 70.1 0.118393359978842 0.232621 0.418697400461226 0.563258507407428 0.906889
6.25 70 0.150857872384767 0.296057 0.54222546647188 0.725919301218079 1.17521
6.5 70 0.191135219069662 0.376797 0.699157390288333 0.931376666070361 1.51873
6.75 70 0.246590771487405 0.480075 0.895504639188884 1.18646229580229 1.95256
7 70 0.300049467582507 0.606649 1.13480076649647 1.51615523904952 2.49827
7.25 70 0.370833749242541 0.757466 1.4267782709475 1.87795970869673 3.16845
7.5 70 0.452209178513297 0.93022 1.76923 2.31339850849639 3.96513
7.75 70 0.567027856027715 1.12261 2.13638 2.80197947897034 4.88886
3 100.4 0.00121437079170635 0.00220883718648434 0.00349715028777328 0.00498386 0.00854183337514252
3.25 100.4 0.00179429137500346 0.00353208 0.00554869937166623 0.00794167 0.0141566400401443
3.5 100.4 0.00278395 0.0054611759669978 0.00841714919712214 0.0122475 0.0225029501475994
3.75 100.4 0.0039143620806081 0.00788787986341596 0.0127366430875089 0.0183672 0.0343977856734605
4 100.4 0.00564802450140028 0.0113230827015055 0.0187562 0.0269201 0.050883492473235
4.25 100.4 0.00793487941804379 0.0160465 0.0268234 0.0386903 0.0732875134145445
4.5 100.4 0.0110663941510627 0.0223284 0.0377162 0.0546719 0.103340661800849
4.75 100.4 0.015453259123926 0.0311179 0.0533652539554128 0.0771549 0.145173895753478
5 100.4 0.0215404695846587 0.0433041 0.0755128697817887 0.108571 0.203848298558609
5.25 100.3 0.0282963068921951 0.0571291153350192 0.100259396658869 0.143505 0.267339868353161
5.5 100.2 0.0363356546952993 0.0744162724069577 0.127818273593799 0.1868 0.346667871436494
5.75 100.1 0.0474227810143027 0.0985520526530998 0.168920074444345 0.246034 0.455533004094815
6 100 0.0618603280399618 0.130928554698837 0.223347119845241 0.325018 0.601327709614636
6.25 100 0.0801489574492005 0.172310360310833 0.295191216196753 0.427202 0.791008093524384
6.5 100 0.103389939581337 0.224831911567817 0.389015425081257 0.558771 1.03718461778077
6.75 100 0.130497305228353 0.291508628249984 0.507305334541364 0.727655 1.35344597418263
7 100 0.165877964038642 0.376345791491581 0.658057740561536 0.948204 1.75537757514175
7.25 100 0.208652683996901 0.480791828082522 0.842636126702217 1.21986835960821 2.25424679970071
7.5 100 0.25917934736697 0.605933713652659 1.06087609443717 1.553 2.85807233928925
7.75 100 0.318321230320003 0.758817 1.31872814493677 1.94394823281994 3.5808706543142
3 130.3 0.000675606748732106 0.00125008 0.00201885064239877 0.0028943 0.00547852705230028
3.25 130.3 0.0010240579445266 0.0019445 0.00323397467680594 0.00458543 0.00901357628249673
3.5 130.3 0.00150095513990546 0.00300135 0.0049817858370738 0.00702488 0.0142031061371748
3.75 130.3 0.00229606874958757 0.00442879244485524 0.00745924960732397 0.0104782 0.0215366511906789
4 130.3 0.00317351853069823 0.00641688820371491 0.0106024 0.0152604430066784 0.0315402555078729
4.25 130.3 0.00450080324077655 0.00909577 0.0152692489863119 0.0218681290743703 0.0448865615874312
4.5 130.3 0.00626321 0.0125265 0.0215201285368412 0.0303962 0.0623940854302777
4.75 130.3 0.00852623462968533 0.0173083 0.0303468253399019 0.0425284 0.0865832116583054
5 130.3 0.0118826104613482 0.0241033 0.043028 0.0598988 0.120883496991923
5.25 130.2 0.0156566237624164 0.0317415 0.0575606 0.0797633 0.159635909251617
5.5 130.1 0.0204291764155767 0.0413989 0.0762754 0.105226 0.2091464269589
5.75 130.1 0.0271148212686124 0.0554437986330108 0.102897 0.141306 0.279437455318906
6 130 0.0361159329589014 0.0753132333519687 0.138408 0.19059 0.375724973876848
6.25 130 0.0477035698170681 0.101499472493031 0.184711 0.258069 0.50240147094876
6.5 130 0.0626364094167145 0.136226 0.245449 0.347842 0.669572259185175
6.75 130 0.0816749811228241 0.180623527979216 0.32434 0.465401 0.892079171575013
7 130 0.10559222477873 0.238503 0.42531 0.617089 1.16981280453256
7.25 130 0.134890140554686 0.309232028169749 0.551274 0.807815 1.52371405212551
7.5 130 0.170334797476474 0.395444398763243 0.705253 1.04265 1.95924052028069
7.75 130 0.21220383798254 0.494168121488059 0.89196 1.32913 2.49032617953366
3 200.2 0.000182375937865935 0.00037302 0.000542199 0.000982764659342396 0.00180733529021146
3.25 200.2 0.000288614125560009 0.000600662 0.000887246867360971 0.00151606062943081 0.0029826642870045
3.5 200.2 0.000432847135562383 0.00092996 0.00139715 0.00233487209038482 0.00462211042444716
3.75 200.2 0.000688581870528511 0.0012935 0.00205377000000001 0.00335916603396294 0.00683815852488636
4 200.2 0.000952899516443329 0.00190015 0.00293799 0.00474425882931332 0.00974352808367641
4.25 200.2 0.00131949585072051 0.00264501649636733 0.00406694744689355 0.00665757999999999 0.0134433828013068
4.5 200.2 0.0017922620621616 0.00355929075212863 0.00566203 0.00881626470060353 0.0180734543291269
4.75 200.2 0.0024418498285951 0.00484690664061954 0.00802286 0.0120058884810054 0.0244772268598128
5 200.2 0.00342962788850918 0.00686873441309145 0.0116795 0.0168490986129734 0.0341411465982525
5.25 200.1 0.00461716020709233 0.00931270000000001 0.0161848 0.0227205261692888 0.0457015440888312
5.5 200.1 0.00622755842432299 0.0126188990381361 0.0222011 0.0311172462044822 0.0614362902853661
5.75 200 0.00857424837296211 0.0177214571128307 0.0310557 0.0441035 0.08455254977679
6 200 0.0119711 0.0252648 0.0437606 0.0627952949899487 0.119393897479648
6.25 200 0.0163790440633636 0.035448450451125 0.0616495908052651 0.0881966822387942 0.162944232053006
6.5 200 0.0224064047820481 0.0494213050959389 0.08601598486323 0.122877670621748 0.224951244446639
6.75 200 0.0302075562888504 0.0678765127986564 0.118251970839052 0.168880353431822 0.306960735910772
7 200 0.0402377872097291 0.0923799021280253 0.160633655306484 0.22954564168825 0.423342510898224
7.25 200 0.0527781372652883 0.122640000017308 0.214864 0.307473858628687 0.553528750543445
7.5 200 0.0682248423456543 0.160424670016613 0.282846 0.40613327569952 0.728872556893602
7.75 200 0.0871551842882436 0.207321679370224 0.367735 0.530129072310654 0.949207187573575
3 300.1 3.38157096151848e-05 7.0758e-05 0.000110516754430688 0.000221075 0.00050323
3.25 300.1 5.31425584250867e-05 0.000108774 0.000177077 0.000354156 0.000758482
3.5 300.1 8.01899785867938e-05 0.000161023 0.000268334736951713 0.000528088349673931 0.00109271
3.75 300.1 0.000119901086012261 0.000233562 0.000396789416658 0.000759808 0.00151961
4 300.1 0.000178796026157082 0.000332908 0.000566361 0.0010252 0.00205041
4.25 300.1 0.000257400786683351 0.000496777 0.00079586794827674 0.00134523423352939 0.00268572
4.5 300.1 0.000339041246724077 0.000662881565897093 0.00110111 0.00174292940504612 0.00345512
4.75 300.1 0.000462421068863753 0.000931046128613587 0.00147766 0.00234824916256228 0.00456951
5 300.1 0.000671384746584428 0.00136871 0.00216159 0.00344395 0.00645614
5.25 300.1 0.000955451175593116 0.00194199 0.00314058 0.00491288 0.00898306
5.5 300.1 0.00137704230740835 0.00279156 0.00461503334433305 0.0073071602885954 0.0127219
5.75 300 0.0020234145062672 0.00409265 0.00694543998006862 0.0106234549242982 0.018456
6 300 0.00298113385188938 0.00609248 0.0104821 0.0155207693343125 0.0269698
