Var1 Var2 Var3 Var4 Var5
3 13.8 0.0232634689489654 0.0920043403464642 0.437879
3.25 13.7 0.03778481655032 0.13422 0.601981
3.5 13.6 0.0581386 0.188993 0.820987
3.75 13.6 0.0855338520853385 0.275713 1.11273
4 13.4 0.120405417835395 0.399626 1.50216
4.25 13.3 0.169099646338268 0.577347 2.02568
4.5 13.1 0.235144128964701 0.830785 2.72307
4.75 12.9 0.329570252887369 1.18869 3.63644
5 12.6 0.43826258606035 1.62396 4.76534
5.25 12.2 0.504217 2.01178 6.64641
5.5 11.8 0.541817 2.21661 8.12233
5.75 10.3 0.630449 2.6448 8.8233
6 8.8 0.722326101420902 2.99138 8.64049
6.25 7.4 0.821920826681189 2.97505405093911 8.20517
6.5 5.9 0.931652322311612 2.97636 8.0844
6.75 4.4 1.06683800306453 3.17407 8.62057
7 2.9 1.18234 3.54177 9.80257
7.25 1.5 1.25472 3.8464184487828 10.688
7.5 0 1.27402 3.96675 11.0057
7.75 0 1.25146 3.94727 10.9149
3 13.9 0.0231163699349428 0.0914264719665662 0.428065
3.25 13.9 0.0368165282783313 0.133104 0.588317
3.5 13.8 0.0577139 0.187561 0.802255
3.75 13.7 0.0849178982837384 0.273646 1.08758
4 13.6 0.119524042683653 0.39657 1.46852
4.25 13.4 0.167902130962199 0.573076 1.98185
4.5 13.3 0.235109634442567 0.824927 2.66694
4.75 13 0.327545533807529 1.18098 3.56648
5 12.8 0.435971243504765 1.60345 4.67791
5.25 12.4 0.510176 1.99802 6.57405
5.5 11.9 0.558359 2.28446 8.11514
5.75 10.5 0.664414 2.78729 9.02552
6 9.1 0.78512868037613 3.23520084834634 9.17875
6.25 7.6 0.917489538285701 3.25807036815481 9.05892
6.5 6.2 1.05848727099424 3.36624 9.13833
6.75 4.8 1.19639695880552 3.55685 9.66492
7 3.6 1.28998 3.86562 10.6986
7.25 2.5 1.33655 4.09784550320174 11.386
7.5 2 1.33619 4.16065 11.5431
7.75 2 1.30375 4.11328 11.3713
3 14.7 0.0221267414370933 0.0875308566008933 0.381259
3.25 14.6 0.0351630793885488 0.126276 0.523491
3.5 14.5 0.055055 0.178663 0.713978
3.75 14.4 0.080955827401143 0.260506 0.968315
4 14.3 0.113992715957406 0.377662 1.30968
4.25 14.2 0.160222442176019 0.546009 1.77182
4.5 14 0.22453584799041 0.780163 2.39299
4.75 13.8 0.313553661947388 1.0806 3.21942
5 13.5 0.419511983596082 1.45873 4.2454
5.25 13.2 0.506470605337704 1.92111 5.93149
5.5 12.8 0.586608 2.39089 7.51771
5.75 11.4 0.725058 2.90556 8.74054
6 10.1 0.876140964538404 3.39099072516704 9.40436
6.25 8.9 1.02992905339333 3.53283748152893 9.69233
6.5 7.7 1.16659835655329 3.63633 9.8439
6.75 6.7 1.28415810951393 3.80012 10.361
7 5.8 1.34965 4.05238 11.2117
7.25 5.2 1.37658 4.22264746443355 11.7329
7.5 5 1.37139 4.27207 11.8506
7.75 5 1.33645 4.21828 11.6593
3 17 0.0183981932122062 0.0659462 0.271553
3.25 17 0.0297809442193513 0.0959079 0.372322
3.5 16.9 0.045428 0.138763 0.508219
