Var1 Var2 Var3 Var4 Var5
3 0 8.00975e-06 1.38092209013391e-05 1.93451e-05
3.25 0 1.66514e-05 2.92947e-05 3.92457e-05
3.5 0 3.45946e-05 6.23111e-05 7.95834999999999e-05
3.75 0 7.23937e-05 0.000127227 0.000162341
4 0 0.000151182 0.000255745 0.000330322
4.25 0 0.000314129 0.000510407 0.000681854
4.5 0 0.000642911 0.000999818 0.00137823
4.75 0 0.00132613 0.00197476710562745 0.00279023
5 0 0.00266481 0.00402129168231316 0.00561152
5.25 0 0.005052 0.0083765 0.0127153
5.5 0 0.00919895 0.01665 0.0258079
5.75 0 0.0168794 0.0285596149518764 0.0450822
6 0 0.028444 0.0476812442906042 0.0695549
6.25 0 0.0429032 0.0799312463815272 0.100146
6.5 0 0.0597811 0.11932 0.144012
6.75 0 0.0791503 0.165016 0.208409
7 0 0.101048 0.22403 0.296357
7.25 0 0.121571737749232 0.287885 0.394164
7.5 0 0.134962 0.337956 0.478597
7.75 0 0.142745 0.372718 0.54008
3 2 7.96594000000001e-06 1.35033077778458e-05 1.89051e-05
3.25 2 1.65704e-05 2.86597e-05 3.8383e-05
3.5 2 3.44373e-05 6.0998e-05 7.78862e-05
3.75 2 7.19281e-05 0.000124458 0.00015865
4 2 0.000149932 0.000249886 0.000322331
4.25 2 0.000311469 0.000499064 0.000665624
4.5 2 0.000637435 0.000978644 0.00134646
4.75 2 0.00131573 0.00195662143142529 0.0027307
5 2 0.00264553 0.00398648091836683 0.00549701
5.25 2 0.00506729 0.00824327 0.0124757
5.5 2 0.00929949 0.0163993 0.0253445
5.75 2 0.0173011 0.0285592 0.0449844
6 2 0.0297304 0.0498141523919957 0.0714283
6.25 2 0.0454206 0.0846214157310275 0.105129
6.5 2 0.0635004 0.126351 0.152501
6.75 2 0.083481 0.173892 0.219629
7 2 0.104444 0.231490793762997 0.30628
7.25 2 0.12268 0.290507 0.397743
7.5 2 0.13447 0.336731 0.476881
7.75 2 0.141818 0.370303 0.53658
3 5 7.71054e-06 1.21385017996408e-05 1.69452e-05
3.25 5 1.60427e-05 2.57511e-05 3.44354e-05
3.5 5 3.33108e-05 5.48352e-05 6.99267e-05
3.75 5 6.9288e-05 0.000112002 0.000142126
4 5 0.000143915 0.000224804 0.000288174
4.25 5 0.000300422 0.000452963 0.000599598
4.5 5 0.000618866 0.000904839700773127 0.00122514
4.75 5 0.00127503 0.00188370437225164 0.00249181
5 5 0.00255938 0.00382981686482244 0.00501545
5.25 5 0.00493458 0.00746972932339518 0.0110772
5.5 5 0.00923568 0.0146821 0.0223997
5.75 5 0.0175475 0.027627612697853 0.0410288
6 5 0.0305677 0.0511381954859577 0.0683824
6.25 5 0.0465879 0.0868013359855714 0.104043
6.5 5 0.0646653 0.126919 0.153202
6.75 5 0.0839617 0.174193 0.220054
7 5 0.102707 0.227514 0.301012
7.25 5 0.118561 0.280590421249623 0.384575
7.5 5 0.12968 0.324778 0.460004
7.75 5 0.137499 0.359045 0.520246
3 10 6.67275e-06 9.16833e-06 1.24951e-05
3.25 10 1.38538e-05 1.92573251030562e-05 2.53697e-05
3.5 10 2.86389e-05 4.08745585802556e-05 5.14714e-05
3.75 10 5.93103e-05 8.47294883170379e-05 0.000104605
4 10 0.00012268 0.000175366381453775 0.000212358
4.25 10 0.000259301 0.000371200658533481 0.000448731
4.5 10 0.000540862 0.000777894903881539 0.000934915
4.75 10 0.00110623 0.0016048293534448 0.00190528
5 10 0.00221002 0.00324411338914559 0.00383177
5.25 10 0.00434413 0.00645714038888646 0.00818671
5.5 10 0.00824051 0.012432477246225 0.0163002
5.75 10 0.0152665 0.0237967268406332 0.0298753
6 10 0.0261073 0.0434891696160604 0.0516028
6.25 10 0.0400126 0.0716564 0.083526
6.5 10 0.0561308 0.107054 0.129267
6.75 10 0.0728632 0.149786 0.189336
7 10 0.0891816 0.197259435961285 0.261047
7.25 10 0.104421 0.247368510756872 0.339355
7.5 10 0.116497 0.291886 0.413506
7.75 10 0.125765 0.328469 0.475879
3 20 4.33722e-06 5.19552e-06 6.69548e-06
3.25 20 8.98501e-06 1.09589e-05 1.35772e-05
3.5 20 1.84639e-05 2.30293169305745e-05 2.75156e-05
3.75 20 3.82785e-05 4.86633e-05 5.62827e-05
4 20 7.93984000000001e-05 0.000102581 0.000115272
4.25 20 0.000166122 0.000214761 0.000241818
4.5 20 0.000344208 0.000445553833623277 0.000504102
4.75 20 0.000703015 0.000918822056600308 0.0010357
5 20 0.00140611 0.00185827 0.0020961
5.25 20 0.00277089 0.00381827 0.00431173
5.5 20 0.0052675 0.0075221 0.0084986
5.75 20 0.00961868 0.0141544 0.0159366
6 20 0.0162758 0.0251979 0.0286461
6.25 20 0.0251971 0.0422617 0.0491737
6.5 20 0.0360935 0.0666827 0.08059
6.75 20 0.0481182 0.0978227 0.123829
7 20 0.0613971 0.135764 0.179633
7.25 20 0.075205 0.178659290301938 0.245654766119238
7.5 20 0.0880720547138829 0.220918 0.312921
7.75 20 0.0993173411818103 0.259395 0.37562
3 30 2.91331e-06 3.45175e-06 4.16573e-06
3.25 30 6.08658e-06 7.24269e-06 8.50521e-06
3.5 30 1.2559e-05 1.51104905402078e-05 1.73493e-05
3.75 30 2.59001e-05 3.1677642798411e-05 3.54469e-05
4 30 5.35207e-05 6.61318e-05 7.38498000000001e-05
4.25 30 0.000111419 0.000138744 0.000152792
4.5 30 0.000230395 0.000288839 0.000315357
4.75 30 0.000474071 0.000598408 0.000654575
5 30 0.00095608 0.00122062 0.00133803
5.25 30 0.00189405 0.00247529827203954 0.00273767
5.5 30 0.00361593 0.00488229 0.00541923
