Var1 Var2 Var3 Var4 Var5 Var6 Var7
3 0 0.00131238 0.00146865 0.00207828 0.00231637566633295 0.00262481
3.25 0 0.00264949066730116 0.00294806 0.00411597307299186 0.00456618 0.00513036
3.5 0 0.00525031 0.00596048 0.00829428 0.0091501 0.0101072
3.75 0 0.0102086 0.0120375 0.0165774 0.0182875 0.0199108
4 0 0.0194948 0.0244074 0.0311141 0.0366273 0.0394315
4.25 0 0.0358889 0.0490067 0.0567899575082661 0.0730489 0.0790179
4.5 0 0.0631586 0.0926091290463704 0.114857420640199 0.140988 0.15773
4.75 0 0.106016 0.172012 0.227219075484746 0.261232 0.305486
5 0 0.168105 0.307292 0.425219155076292 0.463191 0.569589
5.25 0 0.253694 0.512385 0.743381622040202 0.909568 1.17572
5.5 0 0.347953 0.75865 1.1457278867271 1.50573 2.0301
5.75 0 0.470798 1.08579 1.69199807426006 2.02687 2.82186
6 0 0.594426 1.42851 2.16458 2.30924 3.28931
6.25 0 0.719093 1.78265 2.3146 2.57308 3.55126
6.5 0 0.857125 2.17717 2.49953 2.77365 3.87632
6.75 0 1.01743 2.64575 2.93769 3.12674 4.45705
7 0 1.17739342123841 3.17099 3.40277 3.61076 5.19861
7.25 0 1.32168042676147 3.63005217079967 3.86003545512064 4.08304 5.93059
7.5 0 1.40758931473136 3.91448688299801 4.16412 4.39472 6.4353
7.75 0 1.44839563529303 4.04964351960419 4.3257 4.56501 6.74107
3 2 0.0013069 0.00146236 0.00204284 0.00227720974448842 0.00257928
3.25 2 0.00263969077460222 0.00293664 0.0040490451755717 0.00449132 0.00504519
3.5 2 0.00522616183143353 0.00594088 0.00816324 0.00900597 0.00994652000000001
3.75 2 0.0101684 0.0119892 0.0163096 0.0179908 0.0195857
4 2 0.019399 0.0242917 0.0305971 0.0360172 0.0387727
4.25 2 0.0356747 0.0487126 0.0564420445029495 0.0717827 0.0776327
4.5 2 0.0627111 0.0932999256396189 0.114021384049996 0.138461 0.154875
4.75 2 0.105265 0.170792 0.225587578337326 0.256726 0.300168
5 2 0.167014 0.305231 0.422208232378464 0.453981771302003 0.559869
5.25 2 0.25436 0.513721 0.745253073218643 0.895013 1.15668
5.5 2 0.353531 0.770787 1.16394676126146 1.4899 2.00836
5.75 2 0.486905 1.12288 1.74960166900123 2.03840354447589 2.84378
6 2 0.627274 1.50732 2.244 2.39442 3.40993
6.25 2 0.775365 1.92192 2.47387 2.74969 3.79484
6.5 2 0.931666 2.36627 2.70601393834312 3.00426 4.19836
6.75 2 1.08822 2.8325 3.14081 3.34392 4.73622385097544
7 2 1.22557576013019 3.30089 3.54248 3.75776 5.41054
7.25 2 1.34216584114173 3.68585724991195 3.91945548115596 4.14589 6.02202
