Var1 Var2 Var3 Var4 Var5
3 0 0.00623272 0.00992412367445642 0.0131941
3.25 0 0.0121418 0.0191918 0.0249935
3.5 0 0.0238173 0.0373619 0.0478454
3.75 0 0.0461008070064582 0.072173 0.0913291
4 0 0.0884142 0.136805 0.174059
4.25 0 0.158746 0.251165 0.334102
4.5 0 0.248647 0.442244 0.617953
4.75 0 0.379925 0.752295 1.08873
5 0 0.570454 1.21369 1.82562
5.25 0 0.959076 2.12475 3.32812
5.5 0 1.31595 3.02857 4.84456
5.75 0 1.50749 3.57241 5.80114
6 0 1.53852 3.76702 6.1288
6.25 0 1.51992 4.15316 6.22785
6.5 0 1.54891353361831 4.31583 6.52963
6.75 0 1.70627 4.7963 7.34275
7 0 1.9019842167931 5.42066 8.3689
7.25 0 2.09076 6.0094 9.35507
7.5 0 2.18963 6.35356 9.97189
7.75 0 2.21588 6.48606 10.2613
3 2 0.00620536 0.00974927790326821 0.0129585
3.25 2 0.0120937 0.0188638 0.024563
3.5 2 0.0237304 0.0367415 0.0470474
3.75 2 0.0459014476931344 0.0709463 0.0897738
4 2 0.0875352 0.134435 0.171038
4.25 2 0.155879 0.246662 0.328103
4.5 2 0.22918265959997 0.4342 0.606692
4.75 2 0.3733 0.739429 1.06979
5 2 0.560864 1.19366 1.79497
5.25 2 0.945974 2.0958 3.28256
5.5 2 1.30754 3.00918 4.81313
5.75 2 1.52917 3.62355 5.88354
6 2 1.61059 3.94431 6.41457
6.25 2 1.54804239713006 4.49538 6.74169
6.5 2 1.71106098890075 4.75378 7.19265
6.75 2 1.85875 5.22442 7.99895
7 2 2.02214 5.7505 8.87886
7.25 2 2.16527 6.22296 9.68828
7.5 2 2.23573 6.48687 10.182
7.75 2 2.25144 6.58988 10.4262
3 5 0.00601769 0.0089184257139593 0.0118403
3.25 5 0.0116981 0.0172199 0.0224083
3.5 5 0.0228146109394576 0.0334595 0.0428295
3.75 5 0.0441696526967537 0.0645656 0.081685
4 5 0.0839636483500098 0.122357 0.155649741352198
4.25 5 0.142051 0.224935 0.299159
4.5 5 0.223382 0.398951 0.555462
4.75 5 0.342079 0.678754 0.980623
5 5 0.51423 1.09615 1.64597
5.25 5 0.857557 1.92171 2.97549
5.5 5 1.12903590244956 2.76667 4.42339
5.75 5 1.36934534409235 3.48898 5.60493
6 5 1.6163 4.11555 6.43115
6.25 5 1.71161 4.66923 7.00549
6.5 5 1.79444 4.97151 7.5248
6.75 5 1.91995 5.39124 8.25857
7 5 2.04612 5.81483 8.98227
7.25 5 2.15658 6.19492 9.64846
7.5 5 2.22031 6.43979 10.1118
7.75 5 2.23875 6.55099 10.3682
3 10 0.00520157 0.00694817 0.00904648
3.25 10 0.0100037 0.01307 0.0169782
3.5 10 0.0193478 0.0251531 0.032165
3.75 10 0.0369300988084191 0.0485483 0.0613888
4 10 0.0659333 0.0921771 0.117412591347633
4.25 10 0.107484 0.173415 0.226715
4.5 10 0.170374 0.308874 0.424205
4.75 10 0.261998 0.54394 0.751769
5 10 0.394419 0.916141 1.26309
5.25 10 0.633309 1.48851 2.19712
5.5 10 0.869896 2.08228 3.19754
5.75 10 1.01053513006096 2.79238 4.10691
6 10 1.24014 3.30834 4.92285
6.25 10 1.39434 3.78928 5.69325
6.5 10 1.55288 4.28805 6.44613118199142
6.75 10 1.68752 4.72579 7.25094
7 10 1.82568 5.17724 8.00934
7.25 10 1.95758 5.61404 8.75573
7.5 10 2.05207 5.94448 9.34563
7.75 10 2.10172 6.1444 9.73606
3 20 0.00322058 0.0038584 0.00481879
