Var1 Var2 Var3 Var4 Var5 Var6 Var7
3 0 0.0428967693060991 0.0586929567677489 0.0787083531992266 0.0998333 0.133107
3.25 0 0.0748883 0.103337 0.136971 0.172889 0.229323
3.5 0 0.117826 0.17614786195323 0.227727 0.293165 0.387264
3.75 0 0.172353 0.289003318002299 0.377666929799938 0.475838 0.626457
4 0 0.247127 0.452462963709107 0.599408 0.739521 0.973594323487131
4.25 0 0.350249 0.697987 0.934883 1.11822 1.51861392866536
4.5 0 0.49029 1.04015 1.39999 1.67537321529584 2.26876166914312
4.75 0 0.677497 1.49999633562875 2.04418 2.42938 3.28163422906978
5 0 0.926869 2.14773 2.87801 3.44619 4.63329875770324
5.25 0 1.30569 2.61802 3.53421 5.0287437918548 6.81519653173242
5.5 0 1.41645833283655 2.89583 4.32183 6.33355970548015 8.52601393819603
5.75 0 1.66870207100159 3.44035 4.85784 7.06563462381893 9.49400668260749
6 0 1.73278 4.03257 5.36338 7.17076 9.56869084883761
6.25 0 1.71344 4.62561385349471 6.02842617646325 7.05589722269695 9.38329316163936
6.5 0 1.95163 4.69984 6.16411 7.9766501724899 10.5079
6.75 0 2.24577 5.03599 6.59929 8.54415 12.2363
7 0 2.46865 5.54842 7.26491 9.40047 13.9504
7.25 0 2.68871 6.00573 7.85756 10.1616 15.061
7.5 0 2.76684 6.21121 8.12039 10.4958 15.5267
7.75 0 2.74212 6.20482 8.10606 10.4715 15.4541
3 2 0.042746 0.058919 0.0775639 0.0978842 0.130505
3.25 2 0.0744612 0.102773 0.135664 0.169617 0.22498
3.5 2 0.115596 0.17521494294346 0.226468 0.287725 0.380073
3.75 2 0.169074 0.28736659034583 0.376736 0.46695 0.614751
4 2 0.242485 0.449853934712983 0.595956 0.725862 0.955590706814953
4.25 2 0.34372 0.693735 0.921949740921891 1.09726 1.47289876598166
4.5 2 0.481353 1.01797315621468 1.39166 1.64439 2.20129590510288
4.75 2 0.666024 1.4909118222803 2.03284 2.38747 3.22623564053521
5 2 0.911999 2.13685 2.8644 3.38947 4.56856561473002
5.25 2 1.3102 2.64474 3.53883 5.03004 6.74825673171257
5.5 2 1.47666882278909 2.97498 4.3799 6.32715011772159 8.52391458606813
5.75 2 1.77684 3.61746 4.9741 7.22663804640453 9.70212191080473
6 2 1.83955 4.35835 5.79894 7.61236 10.1539925071855
6.25 2 1.90735 5.1204555722682 6.71992 7.82112284056758 10.3578
6.5 2 2.20971 5.29929 6.95015 8.99955002851335 11.8887
6.75 2 2.5135 5.62733 7.28364971777114 9.54712 13.6866
7 2 2.69059 6.04485 7.91476 10.2412 15.1939
7.25 2 2.86013 6.38773 8.35732 10.7951891325041 16.0151
7.5 2 2.89692 6.50283 8.50156 10.9883 16.2523
7.75 2 2.85187 6.45275 8.42988 10.8897 16.0687
3 5 0.041247 0.0567462 0.0701859 0.0887904 0.118369
3.25 5 0.069411 0.0984164868520244 0.125633 0.153608 0.203732
3.5 5 0.104303 0.167059567291226 0.216758 0.260102 0.343563
3.75 5 0.152649 0.269435 0.361433 0.422323 0.555966
4 5 0.219334 0.430962675821109 0.57094 0.657607 0.869956548247393
4.25 5 0.311929 0.665423 0.889716 0.994687 1.35377460081143
4.5 5 0.438861 0.977341086432946 1.33944 1.4972 2.03208150669501
4.75 5 0.609849 1.43197596450366 1.93954129176807 2.18252 2.95478981945903
5 5 0.837905 2.05997 2.766 3.10806 4.19704702881638
5.25 5 1.19656 2.62318 3.51594 4.58114 6.15902411648296
5.5 5 1.50982 3.10879 4.16074 5.94229 7.9484172970131
5.75 5 1.7563 3.92253 5.23632 7.08356 9.47742071934829
6 5 1.90001 4.83934 6.45066 7.82918 10.357419203086
6.25 5 2.13677 5.51292 7.23612 8.69266 11.2682
6.5 5 2.43466 5.67469437647023 7.51333 9.73225 13.0503
6.75 5 2.6838 5.9957 7.85607 10.1701 14.6477
7 5 2.81459406125854 6.31483 8.26756 10.6969 15.8476
7.25 5 2.94161 6.56525 8.58883 11.1065 16.4387
7.5 5 2.92523891437431 6.65723 8.70163 11.2482 16.6207
7.75 5 2.91732 6.59936 8.62043 11.1359 16.4188
3 10 0.0343793 0.0465714 0.052552 0.0663206 0.0883868
3.25 10 0.0535079 0.0803124 0.0947757 0.114112 0.151318
3.5 10 0.0801855 0.136101 0.168736 0.192236 0.253878
3.75 10 0.118071 0.223064 0.290753 0.312776 0.406000267514895
4 10 0.171429 0.352598193997776 0.465724 0.493760218824467 0.647623
4.25 10 0.247789 0.540733350684427 0.712581887405705 0.761803235386429 1.0176
4.5 10 0.356029 0.792425289671064 1.05993911867202 1.16966 1.54136
4.75 10 0.507431 1.15893 1.5344 1.74684 2.2797
5 10 0.686096219010192 1.6403 2.16695 2.51573 3.27736
5.25 10 0.904862 2.27074756739406 2.99297 3.39897685368685 4.57778819879737
5.5 10 1.11052 2.76455 3.72 4.334 5.82914913509747
5.75 10 1.34787 3.49545158226837 4.58573 5.29810111202967 7.08703232626126
6 10 1.63977 4.11424 5.4033 6.45433 8.37005
6.25 10 1.94619 4.60861 6.04653 7.82137 10.1365
6.5 10 2.23834 5.04178 6.60905 8.55827 11.8609
6.75 10 2.43478 5.44356 7.13002 9.22792 13.4376
7 10 2.61379 5.82821 7.62808 9.86723 14.5507
7.25 10 2.76945 6.1679 8.06682 10.4294 15.3766
7.5 10 2.83988 6.36512 8.31891 10.7497 15.8324
7.75 10 2.83323 6.40402 8.36378 10.8022 15.8825
3 20 0.0199512124938278 0.0239447 0.0308948 0.035494 0.0453605
3.25 20 0.031877 0.0412108 0.0533688 0.0635188 0.0773941
3.5 20 0.0454718564518128 0.0694664 0.089692 0.107599 0.129725
3.75 20 0.0700084 0.113812 0.146527 0.178691 0.22276
4 20 0.102026 0.179908 0.235188296898269 0.29317 0.360256096388017
4.25 20 0.141234631988621 0.275122 0.364568753342057 0.448106 0.581377
4.5 20 0.212174 0.410867 0.54203413493927 0.681862 0.891244
4.75 20 0.305054 0.604382 0.79961 1.02596 1.33822
5 20 0.411052547652754 0.850654863633828 1.14281 1.47518835464871 1.93959
5.25 20 0.556341 1.18096 1.55583 1.98445 2.57966
5.5 20 0.676453 1.48197 1.89718773478054 2.46753 3.20343
5.75 20 0.837464 1.82237 2.39339 3.06813413798021 4.05175
6 20 1.02523 2.20545 2.89306 3.74758 5.06376
6.25 20 1.2099 2.6288 3.44498 4.45958 6.23517
6.5 20 1.39781 3.08633 4.04133 5.22869 7.53854
6.75 20 1.62128564363079 3.5717 4.67324 6.04323 8.76141
7 20 1.85176 4.07703 5.33079 6.89026 10.0138
7.25 20 2.06583 4.5707241428346 5.97445 7.71869 11.2348
7.5 20 2.23055 4.9802 6.50331 8.39818 12.2304
7.75 20 2.34023 5.27511 6.88403 8.8857 12.9364
3 30 0.0118585 0.0134534 0.0174663688245097 0.0199189 0.0256902108806554
3.25 30 0.0183845 0.0231368 0.0300360874907779 0.0356206 0.0442784146172067
3.5 30 0.0273356 0.0389664 0.0509365281410947 0.0628344 0.0771082
3.75 30 0.0402409 0.0639361 0.0845548358016781 0.104553 0.132411
4 30 0.0586593 0.10141 0.135012598593525 0.167777 0.218684
4.25 30 0.0847302 0.155667 0.206917 0.264589 0.346476
4.5 30 0.121903 0.233648 0.309697 0.404036 0.532085
4.75 30 0.174995 0.34556 0.456825 0.594809 0.799995
5 30 0.246186 0.49699 0.655443 0.85195 1.16152
5.25 30 0.327314 0.6724 0.88493 1.13970447883023 1.51429951386682
5.5 30 0.405151 0.845447 1.11068 1.43790000219695 1.9461
5.75 30 0.496089 1.05107 1.37873 1.78557 2.46051
6 30 0.605098 1.29927 1.70215 2.20266 3.093
6.25 30 0.741911 1.59413 2.08639 2.69813 3.80684
6.5 30 0.899355 1.93694 2.53279 3.27354 4.63975
6.75 30 1.0772 2.32573231337887 3.04527 3.93399 5.59859
7 30 1.27151 2.77022 3.61741 4.67106 6.67086
7.25 30 1.47339 3.23926 4.22733 5.45645 7.81439
7.5 30 1.66058 3.69016 4.81302 6.20982 8.90972
7.75 30 1.77699444512365 4.08835 5.32936 6.87303 9.87149
3 40 0.00752913 0.00864447 0.0112449519709217 0.0126149 0.0164785195743441
3.25 40 0.0117003 0.0146107 0.019048511327404 0.0224712 0.0285373186551297
3.5 40 0.0174074 0.0246002 0.0326034391473873 0.0396272 0.0486685
3.75 40 0.0256289 0.0403216 0.0538018691708393 0.067632 0.0833734
4 40 0.0374085 0.0639406 0.0851966 0.107598 0.137388
4.25 40 0.0542259 0.0976038283011663 0.13059 0.168543142851711 0.217413
4.5 40 0.0783857 0.147872 0.195867 0.255371 0.333409
4.75 40 0.112939 0.218796 0.289015 0.376047 0.499196
5 40 0.159484 0.315257 0.415383 0.539499 0.724361
5.25 40 0.209097 0.42466 0.558289 0.724005 0.980521
5.5 40 0.258432 0.535204 0.70227 0.909306756998183 1.23997
5.75 40 0.322627 0.672032 0.880396 1.1391 1.56135
6 40 0.402256 0.842276 1.10198 1.40948275717892 1.9623
6.25 40 0.499119 1.05111 1.37368 1.77447 2.45603
6.5 40 0.614399 1.30297 1.7013 2.19644 3.05404
6.75 40 0.74536644391311 1.59981 2.08735 2.69354 3.76174
7 40 0.898201 1.94073 2.53056 3.26407 4.57712
7.25 40 1.06355 2.32393 3.0285 3.90479 5.49495
7.5 40 1.23345 2.72938 3.55493 4.58184 6.46772
7.75 40 1.39664 3.12948 4.07386 5.24867 7.42734
3 50 0.00534992803921614 0.00596210576914491 0.00792523118056616 0.00899258588218492 0.011570367752423
3.25 50 0.00845873481546278 0.0102060152800991 0.0135390009213151 0.0156516656642385 0.0203209150233936
3.5 50 0.0125726348819571 0.0171225666516797 0.0227899935719314 0.0274986936338706 0.0340783299239212
3.75 50 0.0184537479800579 0.0279858337560639 0.0371232772208203 0.046948946318255 0.056800800993194
4 50 0.0268489563225119 0.0443075820088899 0.0587070463986457 0.0762692 0.0934555556090628
4.25 50 0.0388451105795268 0.0681215280834286 0.0902059959522799 0.116989840006836 0.147890020470068
4.5 50 0.0560107864356786 0.102466485258103 0.135352095553666 0.175164828895647 0.226765148485087
4.75 50 0.0804616386305209 0.151632902640513 0.199752731101093 0.259259178652953 0.339516597512458
5 50 0.113187530000882 0.21791359197172 0.286600069767308 0.373195 0.491285087386826
5.25 50 0.148891250157592 0.290688997392689 0.381168672269361 0.492867720645502 0.658261948647226
5.5 50 0.184631131324261 0.365303786622024 0.477961649627306 0.618611399116049 0.830077609634241
5.75 50 0.229889495913318 0.461361788588993 0.603708071662722 0.777973343097029 1.050576401913
6 50 0.286903864067885 0.584906914113993 0.763394954907489 0.984604716597812 1.33537353864475
6.25 50 0.357542421280886 0.74193428035155 0.967496737262089 1.24733522212809 1.6988009705333
6.5 50 0.443987520551375 0.939973681132523 1.22491068804922 1.57871328952221 2.15928243203469
6.75 50 0.548454186321452 1.187350818362 1.54640833183161 1.99254856270174 2.73718444870425
7 50 0.672833015368438 1.49282004059613 1.94326335593876 2.5036506772061 3.45365472612181
7.25 50 0.816889023020374 1.86112848448371 2.42152785093634 3.11863952985628 4.3201237586411
7.5 50 0.966592646381275 2.28548 2.97219 3.8193233838694 5.3099
7.75 50 1.14823650335396 2.75368182429853 3.57471025189467 4.60748 6.25652
3 70 0.00314473334974306 0.00425812150664527 0.00529417862015442 0.00657144118428073 0.00796879990917204
3.25 70 0.00534695601928113 0.007308671650724 0.00906103049559436 0.0115960314307235 0.0138703509096089
3.5 70 0.0084497158398033 0.0121854751342792 0.015355331803424 0.0200754870809982 0.0244440543815014
3.75 70 0.0125453365808838 0.0196219 0.0255106279374632 0.0326756071421618 0.0416904965455819
4 70 0.0181829288661254 0.0309880751431612 0.0408883457819168 0.0516646381228764 0.0678336448167117
4.25 70 0.0262452752822901 0.0474131292349164 0.0624849 0.0790476746939836 0.104992243059043
4.5 70 0.0377473023832504 0.0709180920251032 0.0943161588571143 0.118075008356863 0.158831662831478
4.75 70 0.0540499807635495 0.104293693091813 0.141572150366932 0.173524066013332 0.23593294891033
5 70 0.075779594078431 0.149026592888539 0.205341322458732 0.247756866378291 0.340021233104587
5.25 70 0.0991524702866109 0.197905142809962 0.275625786940315 0.328456489480246 0.454166264360059
5.5 70 0.123335862543685 0.251046730345887 0.350443384343955 0.413370695120663 0.574689377729196
5.75 70 0.155182472767519 0.318420246265543 0.449432166496219 0.525724744460791 0.734696716220274
6 70 0.196668785840128 0.41063449573267 0.54187889693263 0.674164378057371 0.946280919671677
6.25 70 0.249883074036745 0.526183202624434 0.699536271857906 0.868035143180905 1.22304304979284
6.5 70 0.316750434981624 0.674915361091941 0.900757341944032 1.11664523905283 1.57838416939721
6.75 70 0.399244906523281 0.859522921549577 1.15406499462927 1.43010853136091 2.02637790516115
7 70 0.500875267734489 1.08713191628347 1.46890480989246 1.82300814197943 2.58663994523564
7.25 70 0.623323971225113 1.35905 1.84971720744396 2.30428817290545 3.26945731941511
7.5 70 0.764846596089735 1.67111 2.28980867600132 2.88509 3.99083048498438
7.75 70 0.927119025751476 2.01949 2.79076060358358 3.56199 4.99131214127876
3 100 0.00168562395938196 0.00254205233497238 0.0034397240458146 0.00446207083796099 0.00570526619649755
3.25 100 0.00291005242373911 0.00436933460719408 0.00589914971687054 0.00778847854090126 0.0101598994403833
3.5 100 0.00473449042748937 0.0068219132365399 0.00988799277059206 0.013097574588963 0.0178159643765097
3.75 100 0.00717247097132259 0.0110233680500871 0.0160019653124182 0.0215615730187185 0.0302593957297357
4 100 0.0111858561872773 0.0172613302910242 0.025106756626837 0.034433627741133 0.0489423732187997
4.25 100 0.0166531291907859 0.0261386763894545 0.0384816111512675 0.0525353234413194 0.0741322188660838
4.5 100 0.0238981061985027 0.0388498324736801 0.0577405834588301 0.079921944993326 0.10970112322913
4.75 100 0.0340131316355024 0.0566880456594259 0.0847984899860091 0.11850762268178 0.159420179702449
5 100 0.0473692903865032 0.0803283599054543 0.120697047841773 0.169839506861762 0.22506103813194
5.25 100 0.0616001453153796 0.105823535309627 0.159624807273248 0.225899377142713 0.295583239199033
5.5 100 0.0768273323679871 0.133493755481713 0.201929893960297 0.285928651858073 0.371836676602959
5.75 100 0.0982730004494211 0.172134747597397 0.260793467513964 0.367285801448628 0.478174986739175
6 100 0.127711192853522 0.224847571773996 0.341144636430314 0.479504657572578 0.624010969371044
6.25 100 0.166643186084377 0.294558776414736 0.447657003118236 0.628067881246564 0.817329705558892
6.5 100 0.216939886384969 0.385296826752758 0.58823757558732 0.821723811918851 1.07128720563256
6.75 100 0.28091201592093 0.501758391065649 0.763042029316171 1.07048395605468 1.39815691850167
7 100 0.371660818311563 0.64882219759016 0.990684221746255 1.38592406451305 1.81338315849277
7.25 100 0.469102085861194 0.830536296232923 1.27338946450368 1.77655983983496 2.32807809902254
7.5 100 0.581403169815406 1.04893392236656 1.60816305769557 2.23245599914418 2.93267636862859
7.75 100 0.721191 1.3084884877812 2.0159377899292 2.79520475710388 3.66710468462169
3 130 0.0010296587697222 0.00150252026535772 0.00205906197096733 0.00269913664466356 0.00367020907941418
3.25 130 0.00171417336064273 0.00257505843278107 0.00358873522247418 0.00481906477313887 0.00649468391923312
3.5 130 0.0027566061413918 0.00416516009513335 0.00574978042105322 0.00772800830694372 0.0113125854800985
3.75 130 0.00437152654541048 0.00671591407771118 0.00935637860752986 0.0130343872326463 0.0191197081328549
4 130 0.00653475294520606 0.0104805499004111 0.0145196047770186 0.0210792357542087 0.0310421680754799
4.25 130 0.00961632441970453 0.0158218905905627 0.0225384480558679 0.0327748531377708 0.0476930640582056
4.5 130 0.013722560911384 0.0233007753142358 0.0342992487820592 0.0492356167557593 0.070038718320671
4.75 130 0.019384989760028 0.0337090646534912 0.0504593163684167 0.0719623704041527 0.100825705341396
