Var1 Var2 Var3 Var4 Var5
3 9.3 1.49574e-06 2.69314836604822e-06 3.90807e-06
3.25 9.3 3.07049e-06 5.69167e-06 7.88011000000001e-06
3.5 9.3 6.29325e-06 1.20613e-05 1.58647e-05
3.75 9.3 1.29974e-05 2.42196e-05 3.21661e-05
4 9.3 2.67578e-05 4.80033e-05 6.52359e-05
4.25 9.3 5.45257e-05 9.39802999999999e-05 0.000133608
4.5 9.3 0.000109446 0.000180567 0.000267606
4.75 9.3 0.00022357 0.000367104512473321 0.000541428
5 9.1 0.000445566 0.000748099651188199 0.00109445
5.25 7.2 0.000841288 0.00150906 0.00256797
5.5 5.6 0.00152989 0.00300037 0.00537266
5.75 4.2 0.00291515 0.00528666606687967 0.00957696
6 2.9 0.00533531 0.00963153891774733 0.0146727
6.25 1.9 0.00921737 0.0161981816187982 0.0206421
6.5 1.1 0.0149616 0.0246883 0.0290946
6.75 0.6 0.0224916 0.036335 0.0424843
7 0.2 0.0316785 0.0542943 0.0644715
7.25 0 0.0409366 0.0773747 0.0952731
7.5 0 0.0478469 0.100414 0.129204
7.75 0 0.0525595 0.120143 0.161405
3 9.5 1.48682e-06 2.634010559115e-06 3.82001e-06
3.25 9.5 3.05297e-06 5.56791e-06 7.70666e-06
3.5 9.5 6.25814e-06 1.18034e-05 1.55219e-05
3.75 9.5 1.29052e-05 2.36818e-05 3.14333e-05
4 9.5 2.65196e-05 4.68863e-05 6.36706e-05
4.25 9.5 5.40235e-05 9.18040000000001e-05 0.000130394
4.5 9.5 0.000108394 0.000176464 0.000261234
4.75 9.5 0.000221509 0.00036340047457696 0.000529197
5 9.3 0.000441716 0.000740655367911901 0.00107031
5.25 7.5 0.000845574 0.00148567 0.00252189
5.5 5.9 0.00155241 0.00296018 0.00528387
5.75 4.6 0.00301022 0.00544813723074771 0.00959842
6 3.6 0.00562984 0.0101440409759845 0.0151687
6.25 2.8 0.00982247999999999 0.0172364439245627 0.021767
6.5 2.3 0.0158849 0.0261135 0.0307609
6.75 2.1 0.0236147 0.0381078 0.0445488
7 2 0.0326656 0.0559751 0.0664662
7.25 2 0.0411822 0.0778401 0.0958492
7.5 2 0.047572 0.0998416 0.12847
7.75 2 0.0521437 0.119196 0.160135
3 10.5 1.42947e-06 2.35776395657227e-06 3.41038e-06
3.25 10.5 2.93383e-06 4.98024e-06 6.88434e-06
3.5 10.5 6.00837e-06 1.05588e-05 1.38706e-05
3.75 10.5 1.23383e-05 2.11664e-05 2.80142e-05
4 10.5 2.52618e-05 4.18381e-05 5.66136e-05
4.25 10.5 5.16556e-05 8.26176000000001e-05 0.000116648
4.5 10.5 0.000104258 0.000167325012139162 0.000235717
4.75 10.5 0.000212877 0.000347254460043265 0.000478829
5 10.3 0.000424538 0.000707010283612481 0.000968277
5.25 8.8 0.00081915 0.00139936177693144 0.00221457
5.5 7.5 0.0015414 0.00270117132583598 0.0046176
5.75 6.5 0.00309056 0.00553824579865526 0.0087385
6 5.8 0.00589295 0.0105184102827347 0.0145856
6.25 5.4 0.0101151 0.0176229860790212 0.0214152
6.5 5.1 0.0160869 0.0260006 0.0305629
6.75 5 0.0236433 0.0379589 0.0443357
7 5 0.0320469 0.0548665 0.0651362
7.25 5 0.0397346 0.075127 0.0925007
7.5 5 0.0458448 0.096242 0.123848
