Var1 Var2 Var3 Var4 Var5 Var6 Var7
3 9.3 0.000207294 0.000232198 0.000321155 0.000359922 0.000412883
3.25 9.3 0.000434254 0.000485399 0.000665645 0.000742483 0.000837638
3.5 9.3 0.000897629 0.00101634 0.00139791 0.00153933 0.00170427
3.75 9.3 0.00184372 0.00211466 0.00291226 0.00316492 0.00344786
4 9.3 0.00377553 0.00439983 0.00583485 0.00649156 0.00697244
4.25 9.3 0.00760839 0.00908094 0.0114663 0.0131872 0.0140682
4.5 9.3 0.0149398 0.0185714 0.0219569 0.0265543 0.0283429
4.75 9.3 0.0281606454554877 0.0374463 0.0422900098119299 0.0522362 0.0565713
5 9.1 0.0499208 0.0709532 0.0839730039986918 0.101187 0.11234
5.25 7.2 0.0818044 0.133271252324524 0.159772547592004 0.218088 0.251358
5.5 5.6 0.122751 0.223618072083063 0.282775732294763 0.412093 0.497688
5.75 4.2 0.181183 0.362766 0.48780372213981 0.641267 0.813853
6 2.9 0.246024 0.537271 0.755115501019973 0.828703 1.10022
6.25 1.9 0.31184 0.727064 0.933338 0.983059 1.32314
6.5 1.1 0.381678 0.933928 1.06417 1.12013 1.54946
6.75 0.6 0.460525 1.16816 1.24303263779186 1.30343 1.83921
7 0.2 0.543784 1.42673 1.48583 1.5361 2.21561
7.25 0 0.614077357394616 1.65821345108238 1.71337476731983 1.76249 2.57391
7.5 0 0.656350037694562 1.80327581632092 1.86539 1.9169 2.82831
7.75 0 0.677615020161314 1.88272300158487 1.95326 2.00724 2.98777
3 9.5 0.000206456 0.000231224 0.000315853 0.000353837 0.000405761
3.25 9.5 0.000432735 0.000483622 0.00065534 0.000730427 0.000823826
3.5 9.5 0.000894893 0.00101307 0.00137626 0.0015154 0.00167739
3.75 9.5 0.0018359 0.0021053 0.00286448 0.00311287 0.00339045
4 9.5 0.00375499 0.00437515 0.00573559 0.00637965 0.00685107
4.25 9.5 0.00756033 0.00902249 0.0112666 0.012955 0.0138209
4.5 9.5 0.0148327 0.0184375 0.021568 0.0260848 0.0278356
4.75 9.5 0.0279768 0.0371739 0.0419770963988508 0.051346 0.0555988
5 9.3 0.0495314928213821 0.0700311 0.0833788557357052 0.0994843 0.11044
5.25 7.5 0.0818124 0.132572468217877 0.159819676305522 0.21421 0.246878
5.5 5.9 0.124149 0.224566219314317 0.286020277381503 0.406257 0.490636
5.75 4.6 0.186232 0.372903 0.501441635257564 0.642906 0.815926
6 3.6 0.257808 0.563035 0.791337424159333 0.853701 1.13337
6.25 2.8 0.333242393609112 0.777481 0.989552 1.04217 1.40275
6.5 2.3 0.411022 1.00572 1.14222 1.2022 1.66297
6.75 2.1 0.489536 1.2417 1.32108629793388 1.38406 1.95297
7 2 0.563116 1.47747 1.53821 1.59034 2.29393
7.25 2 0.620391272055056 1.67516933502965 1.72907810661317 1.78047 2.60025
7.5 2 0.653681149760865 1.79776970480923 1.85971 1.91108 2.81973
7.75 2 0.673196577617269 1.87030131548981 1.94041 1.99403 2.96821
3 10.5 0.000201476 0.000225501 0.000291862 0.000326336 0.000373592
3.25 10.5 0.000421684 0.000470881 0.000605264 0.000672985 0.000758085
3.5 10.5 0.000870365 0.000984185 0.00126689 0.00139461 0.00154201
