Var1 Var2 Var3 Var4 Var5
3 9.3 0.043844 0.0787083531992266 0.130193
3.25 9.3 0.0767102 0.136971 0.224365
3.5 9.3 0.128527 0.227727 0.378965
3.75 9.3 0.205488407071012 0.377666929799938 0.613123
4 9.3 0.323218 0.599408 0.96371197562438
4.25 9.3 0.456969 0.934883 1.49139
4.5 9.3 0.638224 1.39999 2.2281
4.75 9.3 0.880084 2.04418 3.22258
5 9.1 1.20221 2.87801 4.56076
5.25 7.2 1.71811 3.53421 6.71315
5.5 5.6 2.09693 4.32183 8.41283
5.75 4.2 2.27995 4.85784 9.37003
6 2.9 2.24506 5.36338 9.43701
6.25 1.9 2.16363 6.02842617646325 9.20709
6.5 1.1 2.17537 6.16411 9.55424
6.75 0.6 2.30606 6.59929 10.3256
7 0.2 2.5155 7.26491 11.4806
7.25 0 2.69801 7.85756 12.5459
7.5 0 2.76684 8.12039 13.1033
7.75 0 2.74212 8.10606 13.2215
3 9.5 0.0435847 0.0775639 0.127583
3.25 9.5 0.0762919 0.135664 0.220006
3.5 9.5 0.127819 0.226468 0.371746
3.75 9.5 0.20433227546335 0.376736 0.601369
4 9.5 0.317027 0.595956 0.946181023954636
4.25 9.5 0.448281 0.921949740921891 1.46321
4.5 9.5 0.626358 1.39166 2.18682
4.75 9.5 0.864873 2.03284 3.16692
5 9.3 1.18248 2.8644 4.48568
5.25 7.5 1.70076 3.53883 6.64414
5.5 5.9 2.09602 4.3799 8.40634
5.75 4.6 2.33338 4.9741 9.58602
6 3.6 2.38238 5.79894 10.003
6.25 2.8 2.40574 6.71992 10.1462
6.5 2.3 2.45355 6.95015 10.7754
6.75 2.1 2.57741 7.28364971777114 11.5404
7 2 2.74093 7.91476 12.51
7.25 2 2.8685440363051 8.35732 13.3462
7.5 2 2.89692 8.50156 13.7205
7.75 2 2.85187 8.42988 13.7517
3 10.5 0.0419799 0.0701859 0.115432
3.25 10.5 0.0714717424246485 0.125633 0.198737
3.5 10.5 0.122354 0.216758 0.335219
3.75 10.5 0.189203778053362 0.361433 0.542559
4 10.5 0.286224 0.57094 0.852415680608103
4.25 10.5 0.406063 0.889716 1.32631
4.5 10.5 0.570012 1.33944 1.99091
4.75 10.5 0.7905 1.93954129176807 2.89483
5 10.3 1.0844 2.766 4.11285
5.25 8.8 1.54994 3.51594 6.05044
5.5 7.5 1.95607 4.16074 7.8348
5.75 6.5 2.27367 5.23632 9.32567
6 5.8 2.45524 6.45066 10.2939
6.25 5.4 2.58781 7.23612 11.0440895593131
6.5 5.1 2.65646 7.51333 11.6633
6.75 5 2.74891 7.85607 12.3082
7 5 2.86544 8.26756 13.0806
7.25 5 2.95114 8.58883 13.7279
7.5 5 2.96681 8.70163 14.0568
7.75 5 2.91732 8.62043 14.0733
3 13.6 0.0350227115837153 0.052552 0.0855625
3.25 13.6 0.0596970642418188 0.0947757 0.146539
3.5 13.6 0.101328 0.168736 0.245939
3.75 13.6 0.148879 0.290753 0.398913
4 13.6 0.215681 0.465724 0.635628979644212
4.25 13.6 0.308457 0.712581887405705 0.988473134776622
4.5 13.6 0.437239 1.05993911867202 1.49942193122744
4.75 13.6 0.612577 1.5344 2.22260506172373
5 13.5 0.846071 2.16695 3.1893125116347
5.25 12.3 1.146 2.99297 4.46834
5.5 11.4 1.42954 3.72 5.71199
5.75 10.8 1.69747 4.58573 6.93977
6 10.4 1.97017 5.4033 8.17615206120376
6.25 10.2 2.17458 6.04653 9.3468
6.5 10.1 2.3474 6.60905 10.3014
6.75 10 2.50367 7.13002 11.2118
7 10 2.65078 7.62808 12.1087
7.25 10 2.77716 8.06682 12.9321
7.5 10 2.83988 8.31891 13.4729
7.75 10 2.83323 8.36378 13.6872
3 22.1 0.0208484 0.0308948 0.0430473
3.25 22.1 0.0344666 0.0533688 0.0735894
3.5 22.1 0.0513767 0.089692 0.129071215613176
3.75 22.1 0.0754648 0.146527 0.210692
4 22.1 0.109549 0.235188296898269 0.333656
4.25 22.1 0.154667113637801 0.364568753342057 0.526456
4.5 22.1 0.225263 0.54203413493927 0.803402
4.75 22.1 0.321311 0.79961 1.19869
5 22 0.449687 1.14281 1.73255
5.25 21.3 0.60153 1.55583 2.37621
5.5 20.8 0.741796 1.89718773478054 2.99534
5.75 20.4 0.882129140408523 2.39339 3.70037
6 20.2 1.05066510223562 2.89306 4.50128
6.25 20.1 1.25475 3.44498 5.39681
6.5 20 1.4517 4.04133 6.37822
6.75 20 1.65681 4.67324 7.43543
7 20 1.86701 5.33079 8.55523
7.25 20 2.06951 5.97445 9.67615
7.5 20 2.23055 6.50331 10.633
7.75 20 2.34023 6.88403 11.366
3 31.4 0.0122293284664566 0.0174663688245097 0.0245958
3.25 31.4 0.0194185 0.0300360874907779 0.0438239
3.5 31.4 0.0288623 0.0509365281410947 0.0740251217506193
3.75 31.4 0.0424733 0.0845548358016781 0.120803
4 31.4 0.0618925 0.135012598593525 0.19183
4.25 31.4 0.0893722 0.206917 0.303707
4.5 31.4 0.128544 0.309697 0.452770815163043
4.75 31.4 0.184486 0.456825 0.698042
5 31.3 0.259459 0.655443 1.01254
5.25 30.9 0.344664 0.88493 1.37673
5.5 30.5 0.426396 1.11068 1.738
5.75 30.3 0.522016 1.37873 2.16922
6 30.1 0.635617 1.70215 2.69332
6.25 30.1 0.768173 2.08639 3.32154
6.5 30 0.919427 2.53279 4.01912039191829
6.75 30 1.09018 3.04527 4.91772
7 30 1.27786 3.61741 5.88873
7.25 30 1.47485279326762 4.22733 6.9372363196534
7.5 30 1.66058 4.81302 7.97273
7.75 30 1.82019 5.32936 8.90949
3 41.1 0.00790523 0.0112449519709217 0.0159422
3.25 41.1 0.0122733 0.019048511327404 0.0276887
3.5 41.1 0.0182412 0.0326034391473873 0.0468339246169182
3.75 41.1 0.0268224 0.0538018691708393 0.0778111
4 41.1 0.0390889 0.0851966 0.123474
4.25 41.1 0.0565515 0.13059 0.195712
4.5 41.1 0.0815516 0.195867 0.30057
4.75 41.1 0.117154 0.289015 0.450619
5 41 0.165173 0.415383 0.654523
5.25 40.6 0.218633 0.558289 0.885703
5.5 40.4 0.271369 0.70227 1.12018
5.75 40.2 0.335843 0.880396 1.41131
6 40.1 0.413096766419513 1.10198 1.77552
6.25 40 0.510211 1.37368 2.22565
6.5 40 0.621895485705739 1.7013 2.77374
6.75 40 0.752921098915669 2.08735 3.42669
7 40 0.901197 2.53056 4.18569
7.25 40 1.06439 3.0285 5.04975
7.5 40 1.23345 3.55493 5.97933
7.75 40 1.39664 4.07386 6.91492
3 50.9 0.00541749670036615 0.00792523118056616 0.0114644
3.25 50.9 0.00854927715810268 0.0135390009213151 0.019859
3.5 50.9 0.0127074436009377 0.0227899935719314 0.0335423
3.75 50.9 0.0186519728303745 0.0371232772208203 0.0549085044581312
4 50.9 0.0271384910294972 0.0587070463986457 0.0871861326072544
4.25 50.9 0.0392664733548082 0.0902059959522799 0.137683495020519
4.5 50.9 0.0566247981864172 0.135352095553666 0.211355871525699
4.75 50.9 0.0813591039018908 0.199752731101093 0.316754433204857
5 50.8 0.114429189214099 0.286600069767308 0.458773852294529
