Var1 Var2 Var3 Var4 Var5 Var6 Var7
3 9.3 0.0498334997050822 0.0874008 0.11233242136446 0.159952 0.275435
3.25 9.3 0.075354 0.141642 0.191151 0.257351 0.440619
3.5 9.3 0.109303 0.220605 0.309536914160103 0.39762 0.67702
3.75 9.3 0.156462 0.325838002930633 0.480243453336168 0.591859 1.00238
4 9.3 0.214203693935728 0.476156104654707 0.703954236394243 0.864278 1.44411
4.25 9.3 0.313579 0.693726 1.05791365882812 1.24535 2.04228
4.5 9.3 0.439827 0.976459 1.52805850714172 1.77275 2.79799765652716
4.75 9.3 0.612518 1.35056 2.17992968528706 2.49979 3.84761545249735
5 9.1 0.82095 1.83165 2.97379 3.39087 5.20772
5.25 7.2 0.973058000000001 2.36230515986394 3.71401 4.37029 7.14398940598762
5.5 5.6 1.18067 2.59889484533073 4.15877 5.36532 8.85837
5.75 4.2 1.2771 3.07520466486853 4.92297 5.87789 9.68786
6 2.9 1.34703 3.43872648095301 5.38563226353034 5.90474 9.59237
6.25 1.9 1.52655 3.35586 5.34362 6.77647 10.0806524140579
6.5 1.1 1.72983 3.36061 5.30771 7.74245 11.739
6.75 0.6 1.94568 3.5797 5.70358 8.8194 13.5682
7 0.2 2.13377 3.91898 6.29015720774705 9.65939 15.1279
7.25 0 2.30036149504867 4.21505 6.76873996608273 10.3911 16.12
7.5 0 2.3542 4.33422 6.94014 10.6841 16.4076
7.75 0 2.31485 4.30577 6.87034 10.6102 16.1226
3 9.5 0.0494221306141897 0.0854362 0.11148 0.156733 0.269429
3.25 9.5 0.07481 0.138509 0.189664 0.2526 0.431166
3.5 9.5 0.108547 0.215835 0.306843998814051 0.39178 0.662815
3.75 9.5 0.149748965304228 0.324117 0.476186116203436 0.586706 0.981542
4 9.5 0.212676808984762 0.473809 0.714830470277555 0.857915 1.41488
4.25 9.5 0.311545 0.679746 1.05031953369144 1.23646 2.00233
4.5 9.5 0.437096 0.957662 1.50871375653869 1.76052 2.78513
4.75 9.5 0.608972 1.32625 2.1659 2.4835 3.81286
5 9.3 0.817155 1.80083 2.92192 3.37257 5.12283
5.25 7.5 0.964355 2.40363039375906 3.70136 4.332 7.16619
5.5 5.9 1.18243 2.65990074841025 4.28101 5.37338 8.87111
5.75 4.6 1.30989 3.23966739562983 5.15583312116681 6.02856 9.93554
6 3.6 1.46203 3.70290790317464 5.82850658493358 6.40248 10.2164
6.25 2.8 1.70673 3.67686053788677 5.91021 7.56906 11.415
6.5 2.3 1.96938 3.80943 6.0135 8.80702 13.3513
6.75 2.1 2.18502 3.98800372958447 6.41586 9.90432 15.2533
7 2 2.33735 4.29148 6.88894993929834 10.5757 16.5568
7.25 2 2.4654 4.50649 7.2361629023241 11.108 17.2268
7.5 2 2.4774 4.56099 7.30269 11.2417 17.2595
7.75 2 2.41893 4.49938 7.17877 11.0862 16.8421
3 10.5 0.0470145984675127 0.0763154 0.106197 0.149303 0.241487
3.25 10.5 0.0713768 0.12365 0.180437 0.240309 0.386199
3.5 10.5 0.103528 0.192776 0.291729069532767 0.372554 0.593952
3.75 10.5 0.148304 0.290055 0.45302973169442 0.558315 0.866998597069657
4 10.5 0.210776 0.42523 0.680882524772516 0.817345 1.27371
4.25 10.5 0.298291 0.612414 1.00207263159142 1.17994 1.80931
4.5 10.5 0.404008081434611 0.866741 1.42223 1.68274 2.52779
4.75 10.5 0.585237 1.20718 1.9654 2.37793 3.47976
5 10.3 0.788774 1.6467 2.66373 3.24275 4.72442163110446
5.25 8.8 0.948711 2.31339892906406 3.51522249671764 3.95468 6.54023
5.5 7.5 1.10906 2.80633637441443 4.35344 5.04075 8.31931
5.75 6.5 1.35795 3.44199 5.27443 5.91643 9.74743
6 5.8 1.64023 3.83501 6.12159 7.14736 10.7093
6.25 5.4 1.92657 4.01363 6.36562 8.50287 12.8144
6.5 5.1 2.18517 4.14507 6.52473 9.72956 14.5047092428944
6.75 5 2.33953 4.30996 6.92462 10.6044 16.4124
7 5 2.46142 4.5124 7.23915733596061 11.1101 17.3611
7.25 5 2.55215 4.66333 7.48901 11.4864 17.7853
7.5 5 2.5533 4.70045 7.52309 11.5786 17.7525
7.75 5 2.43201500263719 4.63046 7.38542 11.4037 17.3036
3 13.6 0.0385099420987382 0.0549632 0.0873838 0.118502823989291 0.175686
3.25 13.6 0.0590819 0.0889132 0.147304598203957 0.197079 0.28048
3.5 13.6 0.0855722 0.138699 0.23339 0.305041 0.431514
3.75 13.6 0.122813 0.209627 0.349824 0.457883 0.642886
4 13.6 0.175069 0.309281 0.479724795566998 0.672104 0.941969597541963
4.25 13.6 0.248686 0.449083 0.736486 0.973545 1.3927
4.5 13.6 0.350893 0.641764 1.04359 1.39314 2.01207
4.75 13.6 0.492341 0.905263 1.46048 1.97763 2.87632
5 13.5 0.669205 1.24718 1.9985 2.71794 3.97581
5.25 12.3 0.829015 1.70863 2.7299 3.40621 5.00799
